contract_id,contract_start_date,annual_amount,ejari_property_sub_type_en,area_name_en
CNT2126707485,2025-01-01,29000,Studio,Al Mararr
CNT2129634633,2025-02-13,15000,Office,Al Goze Industrial First
CNT2133201928,2025-10-25,75000,Shop,Al Mararr
CNT2132576897,2025-09-10,25000,Office,Dubai Investment Park First
CNT2132149725,2025-07-17,1580929,Office,Nadd Hessa
CNT2128482200,2025-01-22,15000,Office,Dubai Investment Park First
CRT2132588106,2025-04-14,160000,5 bed rooms+hall,Al Mizhar First
CNT2129965731,2025-01-01,78592,Showroom,Ras Al Khor Industrial Second
CNT2129826185,2025-02-19,138000,2 bed rooms+hall,Marsa Dubai
CNT2127589235,2025-01-07,20000,Office,Al Wasl
CNT2133271699,2025-10-31,16000,Office,Port Saeed
CNT2133564106,2025-12-14,66990,2 bed rooms+hall,Mirdif
CNT2131777617,2025-07-15,51450,1bed room+Hall,Al Karama
CNT2129977681,2025-03-21,26000,1bed room+Hall,Al Goze Fourth
CNT2133580172,2025-11-21,15000,Office,Burj Khalifa
CNT2131773776,2025-07-09,15000,Shop,Abu Hail
CRT2131330606,2025-05-15,143500,Shop,Al Ras
CNT2132624288,2025-07-21,55650,1bed room+Hall,Al Barsha South Fourth
CNT2129823590,2025-02-15,90000,2 bed rooms+hall,Al Raffa
CNT2129885579,2025-02-10,42000,1bed room+Hall,Al Nahda First
CNT2133887202,2025-12-17,70000,1bed room+Hall,Al Hebiah Fourth
CNT2131980927,2025-07-03,231660,Room in labor Camp,Muhaisanah Second
CNT2128018252,2025-01-01,70500,2 bed rooms+hall,Mankhool
CNT2129187428,2025-02-10,154000,3 bed rooms+hall,Jabal Ali First
CNT2132957703,2025-09-27,34732,Studio,Al Hebiah Fourth
CNT2133791983,2025-12-07,41580,Studio,Hor Al Anz East
CNT2132606475,2025-09-01,132000,Warehouse,Ras Al Khor Industrial First
CNT2130144973,2025-03-13,20000,Office,Port Saeed
CNT2131929330,2025-08-05,80000,1bed room+Hall,Mankhool
CNT2132311679,2025-07-01,150000,Warehouse,Al Goze Industrial Second
CNT2131978282,2025-07-24,15000,Office,Al Suq Al Kabeer
CNT2133591511,2025-11-22,15000,Office,Al Mararr
CNT2132471509,2025-08-15,116424,Warehouse,Dubai Investment Park First
CNT2132514059,2025-09-04,15000,Office,Jabal Ali Industrial First
CRT2128107186,2025-01-01,3105763,Studio,Al Mararr
CNT2132106937,2025-06-15,87437,Labor Camp,Muhaisanah Second
CRT2131560006,2025-07-01,70000,1bed room+Hall,Wadi Al Safa 2
CRT2130060676,2025-03-15,100000,2 bed rooms+hall,Al Hebiah Third
CNT2129822551,2025-01-14,80500,2 bed rooms+hall,Al Barsha South Fourth
CNT2133431213,2025-11-15,115000,2 bed rooms+hall,Wadi Al Safa 3
CNT2130123790,2025-03-10,60000,1bed room+Hall,Jabal Ali First
CNT2129884544,2025-02-22,25000,Office,Al Khabeesi
CNT2125879962,2025-01-01,720000,Room in labor Camp,Al Goze Third
CNT2131326801,2025-05-20,4896000,Room in labor Camp,Jabal Ali Industrial First
CNT2132650782,2025-09-15,25200,Room in labor Camp,Jabal Ali First
CNT2134074116,2026-01-03,56000,1bed room+Hall,Al Warqa First
CNT2130490718,2025-04-18,135000,Studio,Marsa Dubai
CNT2134016353,2025-11-20,75245,2 bed rooms+hall,Al Jadaf
CNT2133811939,2025-12-08,45000,1bed room+Hall,Hor Al Anz
CNT2132761317,2025-09-24,15000,Office,Al Mararr
CNT2133889531,2026-01-01,316800,Kiosk,Burj Khalifa
CRT2127007346,2025-01-01,30000,1bed room+Hall,Al Suq Al Kabeer
CNT2131137114,2025-05-30,67908,Room in labor Camp,Jabal Ali Industrial First
CNT2133752684,2026-01-01,48000,Studio,Al Murqabat
CNT2132135144,2025-08-08,23000,Studio,Al Mararr
CNT2133689660,2025-12-10,56000,2 bed rooms+hall,Al Qusais Industrial First
CNT2129369481,2025-02-01,652800,Room in labor Camp,Muhaisanah Second
CNT2132529634,2025-01-01,70000,2 bed rooms+hall,Oud Metha
CNT2130165429,2025-03-20,38000,1bed room+Hall,Al Warsan First
CNT2132143659,2025-09-06,38000,1bed room+Hall,Al Nahda Second
CNT2132870543,2025-09-15,196351,Workshop,Madinat Dubai Almelaheyah
CNT2133261343,2025-04-16,124300,Shop,Al Bada
CNT2131578241,2025-04-06,1620000,Room in labor Camp,Jabal Ali Industrial First
CNT2131684734,2025-07-03,20000,Office,Hor Al Anz
CNT2133916909,2026-01-01,42000,2 bed rooms+hall,Al Karama
CNT2131131273,2025-06-02,100000,2 bed rooms+hall,Al Satwa
CRT2130290776,2025-02-21,38000,Studio,Al Hebiah Fourth
CRT2133474386,2025-11-18,165000,2 bed rooms+hall,Burj Khalifa
CNT2133996235,2025-01-01,1441000,Staff Accommodatoion,Al Warsan Third
CRT2131172256,2025-08-25,183750,2 bed rooms+hall,Palm Jumeirah
CNT2134238873,2026-03-01,504000,Room in labor Camp,Muhaisanah Second
CNT2129046452,2025-01-01,48000,2 bed rooms+hall,Al Nahda Second
CNT2132513583,2025-08-19,80000,1bed room+Hall,Al Thanyah Third
CNT2132502044,2025-08-01,77175,2 bed rooms+hall,Al Barsha First
CNT2133605382,2025-12-10,65000,2 bed rooms+hall,Mankhool
CNT2133139299,2025-10-22,10000,Office,Port Saeed
CNT2133614629,2025-11-25,20000,Office,Al Muteena
CNT2134320426,2026-01-20,20000,Office,Naif
CRT2130820236,2025-05-10,51861,Studio,Al Merkadh
CNT2130816003,2025-01-01,87000,2 bed rooms+hall,Al Suq Al Kabeer
CNT2132940783,2025-11-15,74000,1bed room+Hall,Oud Metha
CNT2130810158,2025-01-01,30000,Office,Al Barsha First
CNT2132310509,2025-08-10,19000,Studio,Al Mararr
CNT2129819001,2025-02-18,15000,Office,Dubai Investment Park First
CNT2133210547,2025-10-08,144000,Studio,Jabal Ali Industrial First
CNT2128827412,2025-01-31,20000,Office,Business Bay
CNT2134073194,2026-01-02,15000,Office,Al Khabeesi
CNT2131006245,2025-05-20,49000,2 bed rooms+hall,Al Nahda Second
CNT2130436653,2025-04-21,50474,1bed room+Hall,Jabal Ali First
CNT2132755860,2025-08-19,171979,3 bed rooms+hall,Al Twar Third
CNT2132059431,2025-09-25,22500,Studio,Jabal Ali Industrial First
CNT2131537665,2025-06-01,270600,Warehouse,Dubai Investment Park First
CNT2131528667,2025-07-06,44099,2 bed rooms+hall,Ras Al Khor Industrial Third
CNT2132026722,2025-06-01,33000,Shop,Al Raffa
CNT2130677066,2025-03-11,115000,3 bed rooms+hall,Mankhool
CNT2134228570,2026-01-18,146016,Warehouse,Al Goze Industrial Second
CNT2131501497,2025-06-04,453569,Office,Trade Center First
CRT2130439216,2025-04-09,15000,Studio,Hor Al Anz
CNT2134031413,2025-12-05,1440000,Room in labor Camp,Jabal Ali Industrial First
CNT2131520079,2025-07-06,48300,1bed room+Hall,Mirdif
CNT2128011495,2025-01-01,25000,Office,Jabal Ali Industrial First
CNT2128056737,2025-01-17,70180,2 bed rooms+hall,Al Jadaf
CNT2132493598,2025-10-03,36000,1bed room+Hall,Al Qusais Industrial Fifth
CNT2132859057,2025-10-01,68000,2 bed rooms+hall,Al Nahda Second
CNT2128530588,2025-05-01,215000,3 bed rooms+hall,Al Barsha South Fifth
CNT2131522559,2025-07-05,38115,1bed room+Hall,Warsan Fourth
CNT2130009113,2025-03-01,54464,1bed room+Hall,Al Barshaa South Third
CNT2131164646,2025-06-01,34800,Studio,Marsa Dubai
CNT2132927293,2025-10-07,15000,Office,Al Khabeesi
CRT2129777276,2025-02-15,120000,1bed room+Hall,Al Merkadh
CNT2132626562,2025-04-01,360000,Labor Camp,Muhaisanah Second
CNT2127419740,2025-01-04,15000,Office,Al Khabeesi
CRT2130798906,2025-05-05,45000,Studio,Hadaeq Sheikh Mohammed Bin Rashid
CNT2129876434,2025-02-24,51729,1bed room+Hall,Mirdif
CNT2131746309,2025-02-09,4339440,Room in labor Camp,Al Goze Third
CNT2130026853,2025-02-01,70845,2 bed rooms+hall,Jabal Ali First
CNT2134085569,2025-12-20,161000,Office,Al Bada
CNT2132573093,2025-07-15,65664,Room in labor Camp,Saih Shuaib 2
CNT2123861695,2025-02-01,190000,4 bed rooms+hall,Al Hebiah Sixth
CNT2129952603,2025-02-27,15000,Office,Al Goze Industrial First
CNT2131786450,2025-07-10,15000,Office,Saih Shuaib 2
CNT2131058377,2025-02-24,19200,Room in labor Camp,Muhaisanah Second
CNT2131787578,2025-07-15,110000,3 bed rooms+hall,Madinat Al Mataar
CNT2130275288,2025-01-10,96000,Room in labor Camp,Muhaisanah Second
CNT2133963625,2025-12-01,450356,Office,Port Saeed
CNT2133615612,2025-11-21,100000,1bed room+Hall,Marsa Dubai
CNT2132177266,2025-08-22,486000,Room in labor Camp,Al Goze Third
CNT2126480488,2025-02-10,51000,2 bed rooms+hall,Al Murqabat
CNT2130071847,2025-03-10,350000,Room in labor Camp,Muhaisanah Second
CNT2132869182,2025-10-01,70000,Shop,Al Suq Al Kabeer
CNT2131390300,2025-06-12,890056,Studio,Jabal Ali Industrial First
CNT2132901727,2025-11-20,77000,1bed room+Hall,Marsa Dubai
CNT2126829144,2025-03-01,48000,1bed room+Hall,Nadd Hessa
CNT2134058559,2026-01-10,32000,Studio,Al Muteena
CRT2134010236,2026-01-01,26000,Studio,Al Suq Al Kabeer
CRT2132714006,2025-10-01,50000,Studio,Al Hebiah Second
CNT2133269140,2025-12-01,74000,2 bed rooms+hall,Al Garhoud
CNT2130319064,2025-04-18,555174,Office,Al Safouh Second
CNT2133995208,2025-12-08,50000,2 bed rooms+hall,Al Nahda Second
CNT2134131875,2025-12-01,2441056,Staff Accommodatoion,Al Goze Fourth
CNT2132859750,2025-09-11,76459,1bed room+Hall,Nad Al Shiba First
CNT2130626829,2025-04-23,18000,Office,Business Bay
CNT2132388145,2025-09-18,2008800,Room in labor Camp,Jabal Ali Industrial First
CNT2131931436,2025-04-30,27500,Office,Eyal Nasser
CNT2133494864,2025-11-17,46000,1bed room+Hall,Al Nahda Second
CNT2133031227,2025-10-11,38000,Studio,Al Warsan First
CNT2129043285,2025-02-10,46200,1bed room+Hall,Nadd Hessa
CNT2132261621,2025-09-08,45000,2 bed rooms+hall,AL QUSAIS
CNT2131129607,2025-06-30,32000,1bed room+Hall,Al Qusais Industrial Fifth
CNT2131751947,2025-07-08,15000,Office,Naif
CNT2130586673,2025-04-11,407679,Room in labor Camp,Muhaisanah Second
CNT2130088555,2025-03-06,60000,Shop,Al Karama
CNT2132635723,2025-09-10,60640,2 bed rooms+hall,Hor Al Anz East
CNT2131333727,2025-06-23,87000,1bed room+Hall,Al Barsha South Fourth
CNT2131546566,2025-07-01,34100,Studio,Al Suq Al Kabeer
CNT2127762709,2025-02-01,49000,1bed room+Hall,Mankhool
CNT2131257418,2025-06-10,20000,Office,Business Bay
CNT2133058637,2025-10-16,20000,Office,Saih Shuaib 2
CNT2132844907,2025-09-20,296374,3 bed rooms+hall,Jabal Ali First
CNT2129893434,2025-02-24,15000,Office,Al Khabeesi
CRT2132077626,2025-08-10,400000,3 bed rooms+hall,Burj Khalifa
CNT2130475358,2025-04-12,30000,Office,Port Saeed
CRT2134295146,2026-01-15,150000,3 bed rooms+hall,Wadi Al Safa 5
CNT2132607254,2025-09-12,15000,Office,Al Goze Industrial First
CNT2129574892,2025-01-17,60500,2 bed rooms+hall,AL TWAR FIFTH
CNT2131583407,2025-08-01,84000,3 bed rooms+hall,Al Karama
CNT2133319163,2025-09-12,6000000,Hotel,Al Baraha
CNT2126021302,2025-01-01,75000,2 bed rooms+hall,Al Mamzer
CNT2132472609,2025-09-05,40000,Studio,Al Hebiah Fourth
CNT2129899077,2025-02-24,15000,Office,Dubai Investment Park First
CNT2134292407,2026-01-19,48000,2 bed rooms+hall,Al Qusais Industrial Fifth
CNT2131342388,2025-06-17,15000,Office,Hor Al Anz East
CNT2134308973,2026-01-20,70000,Studio,Business Bay
CNT2131509226,2025-10-10,63000,1bed room+Hall,Al Suq Al Kabeer
CRT2133455446,2025-11-01,2100000,Office,Business Bay
CNT2131817727,2025-07-22,72765,2 bed rooms+hall,Jabal Ali First
CRT2132790796,2025-09-01,235000,3 bed rooms+hall,Palm Jumeirah
CNT2132145562,2025-08-15,75000,Office,Trade Center First
CNT2130286779,2025-03-25,23000,Studio,Muhaisanah Fourth
CNT2129892253,2025-08-27,37000,1bed room+Hall,Mirdif
CNT2132038178,2025-08-01,95000,2 bed rooms+hall,Al Satwa
CNT2128510306,2025-01-27,39468,1bed room+Hall,Al Goze Industrial Second
CRT2130816426,2025-09-10,90000,2 bed rooms+hall,Mirdif
CNT2134308054,2025-12-06,676800,Room in labor Camp,Jabal Ali Industrial First
CNT2130069312,2025-03-07,20000,Office,Trade Center First
CNT2131750635,2025-07-10,100000,2 bed rooms+hall,Oud Metha
CNT2130236327,2025-02-25,448800,Room in labor Camp,Dubai Investment Park First
CNT2131247640,2025-06-10,15000,Office,Al Khabeesi
CRT2130729286,2025-04-15,230000,3 bed rooms+hall,Al Khairan First
CNT2129454723,2025-02-10,27000,Studio,Al Ras
CNT2133734888,2025-12-07,1000000,Room in labor Camp,Al Goze Industrial Fourth
CRT2130083716,2025-01-01,35700,Studio,Wadi Al Safa 3
CNT2132390168,2025-08-20,26700,Room in labor Camp,Saih Shuaib 3
CRT2133539396,2025-09-01,140000,2 bed rooms+hall,Marsa Dubai
CNT2132606324,2025-08-15,22000,Office,Al Khabeesi
CNT2134064878,2026-01-02,15000,Office,Business Bay
CNT2134032096,2025-12-29,40000,2 bed rooms+hall,Port Saeed
CNT2133083709,2025-10-25,80000,2 bed rooms+hall,Wadi Al Safa 5
CNT2133908940,2025-11-01,2151960,Room in labor Camp,Muhaisanah Second
CNT2131757617,2025-07-15,104999,2 bed rooms+hall,Madinat Dubai Almelaheyah
CNT2130449387,2025-03-01,220000,Warehouse,Jabal Ali Industrial First
CNT2129819418,2025-02-26,69575,1bed room+Hall,Nad Al Shiba First
CNT2130947939,2025-05-15,60000,2 bed rooms+hall,Al Goze Industrial Second
CNT2132982532,2025-09-02,57750,1bed room+Hall,Nadd Hessa
CNT2133157464,2025-10-13,25000,Office,Al Goze First
CNT2132335895,2025-08-21,15000,Office,Al Baraha
CNT2130218098,2025-03-15,100000,2 bed rooms+hall,Al Karama
CNT2133827473,2025-12-01,22000,Studio,Al Mararr
CNT2131221831,2025-04-01,82500,2 bed rooms+hall,Madinat Hind 4
CNT2130927701,2025-05-15,280270,5 bed rooms+hall,Al Kheeran
CNT2132615360,2025-09-21,26000,Office,Al Mararr
CRT2133395846,2025-11-06,15000,Office,Port Saeed
CNT2129367414,2025-02-16,107000,2 bed rooms+hall,Mankhool
CNT2133139082,2025-10-29,51999,1bed room+Hall,Muhaisanah Fourth
CNT2133056212,2025-10-15,90000,2 bed rooms+hall,Al Suq Al Kabeer
CNT2132623022,2025-09-01,54080,1bed room+Hall,Al Warqa First
CRT2132456782,2025-09-04,70000,2 bed rooms+hall,Al Hebiah Fourth
CNT2130790176,2025-05-05,20000,Office,Hor Al Anz
CNT2131391930,2025-06-01,55650,Shop,Al Warsan First
CNT2128502511,2025-01-23,15000,Office,Al Baraha
CNT2132133654,2025-06-11,504000,2 bed rooms+hall,Al Goze Industrial Second
CNT2132990572,2025-10-12,140000,2 bed rooms+hall,Al Thanyah Fifth
CRT2132560000,2025-09-15,165000,3 bed rooms+hall,Wadi Al Safa 5
CNT2133501753,2025-12-15,26000,Studio,Al Mararr
CNT2129371947,2025-02-05,10000,Office,Al Nahda First
CNT2131522178,2025-07-10,85000,2 bed rooms+hall,Al Barsha First
CNT2133062426,2025-10-28,48000,1bed room+Hall,Mankhool
CNT2128819990,2025-01-10,110250,3 bed rooms+hall,Port Saeed
CNT2130451992,2025-04-11,68000,Staff Accommodatoion,Hor Al Anz
CNT2128129677,2025-01-20,55000,Shop,Naif
CNT2133902983,2025-10-03,161000,4 bed rooms+hall,Nadd Hessa
CNT2130929010,2025-05-15,196696,Office,Al Hebiah Second
CNT2133525684,2025-11-17,19000,Office,Al Baraha
CNT2134026896,2025-11-01,326250,Room in labor Camp,Jabal Ali Industrial First
CNT2134104914,2025-12-09,55521,1bed room+Hall,Al Murqabat
CNT2130495311,2025-04-01,750000,Room in labor Camp,Muhaisanah Second
CNT2132803590,2025-06-01,44000,1bed room+Hall,Al Hamriya
CNT2133701164,2025-11-05,105000,2 bed rooms+hall,Al Barsha South Fourth
CNT2133394976,2025-11-15,105000,3 bed rooms+hall,Al Nahda First
CNT2131540707,2025-07-21,2296080,Room in labor Camp,Saih Shuaib 2
CNT2132123682,2025-08-05,12000,Office,Port Saeed
CRT2132065906,2025-08-01,40500,Studio,Mirdif
CNT2131535432,2025-08-01,45738,1bed room+Hall,Nadd Hessa
CNT2130599439,2025-03-25,165000,Office,Al Barsha South Fourth
CNT2132416535,2025-09-01,1200000,Room in labor Camp,Al Goze Industrial Second
CNT2132417138,2025-09-10,110000,2 bed rooms+hall,Al Barsha South Fourth
CNT2132918121,2025-10-21,80000,3 bed rooms+hall,Madinat Hind 4
CNT2129705872,2025-02-15,40000,Office,Eyal Nasser
CNT2133143166,2025-10-01,42000,Studio,Al Dhagaya
CNT2133452941,2025-10-01,44100,1bed room+Hall,AL QUSAIS
CNT2133595028,2025-08-20,207360,Shop,Nad Al Hamar
CNT2131419947,2025-07-22,34000,Studio,Hor Al Anz
CNT2133755396,2025-12-08,60000,Studio,Al Barsha South Fourth
CRT2132175986,2025-08-05,300000,4 bed rooms+hall,Jabal Ali First
CNT2132280759,2025-08-18,20000,Office,Ras Al Khor Industrial Second
CNT2132382833,2025-09-16,1019565,Office,Al Safouh Second
CNT2133577938,2025-11-02,441000,Room in labor Camp,Al Goze Third
CRT2131541726,2025-06-01,75000,1bed room+Hall,Marsa Dubai
CNT2131381552,2025-05-15,3072000,Room in labor Camp,Muhaisanah Second
CNT2134122634,2026-01-07,20000,Office,Business Bay
CNT2127873863,2025-01-10,9005559,Room in labor Camp,Jabal Ali Industrial First
CRT2130569276,2025-04-18,196000,3 bed rooms+hall,Wadi Al Safa 6
CRT2132045136,2025-07-26,43000,Shop,Al Warsan First
CRT2131564836,2025-07-07,125000,4 bed rooms+hall,Madinat Al Mataar
CNT2130801209,2025-04-23,13833333,Hotel,Hor Al Anz East
CNT2129909337,2025-02-24,15000,Office,Dubai Investment Park First
CNT2132774138,2025-08-15,70000,2 bed rooms+hall,Al Karama
CNT2130420766,2025-03-31,55440,2 bed rooms+hall,Al Warqa First
CNT2129936213,2025-03-10,60000,1bed room+Hall,Al Barsha South Fourth
CNT2134278062,2026-01-18,24000,Office,Mankhool
CNT2127623731,2025-01-01,93600,Shop,Naif
CNT2133620347,2025-11-01,116280,Office,Al Raffa
CRT2134168566,2026-02-15,273000,3 bed rooms+hall,Burj Khalifa
CNT2127670393,2025-01-01,20000,Office,Al Rega
CRT2130072638,2025-03-10,150000,3 bed rooms+hall,Madinat Al Mataar
CNT2128560614,2025-01-30,98500,2 bed rooms+hall,Al Satwa
CNT2132062365,2025-07-25,69024,2 bed rooms+hall,Hessyan First
CNT2134242133,2026-01-10,282800,Office,Al Garhoud
CNT2130001567,2025-03-03,20000,Room,Al Murqabat
CNT2132329013,2025-05-20,5694000,Room in labor Camp,Muhaisanah Second
CRT2131798626,2025-08-10,58925,1bed room+Hall,Al Barsha South Fifth
CNT2128292625,2025-01-01,510000,Shop,Al Aweer First
CNT2132106963,2025-08-04,15000,Office,Mankhool
CNT2129883867,2025-02-23,37000,1bed room+Hall,Al Qusais Industrial Fifth
CRT2131758976,2025-06-15,66000,3 bed rooms+hall,Madinat Hind 4
CNT2130699637,2025-04-29,15000,Office,Dubai Investment Park Second
CNT2133445818,2025-11-11,15000,Office,Al Khabeesi
CNT2133967963,2026-01-01,132000,3 bed rooms+hall,Al Wasl
CRT2133944486,2025-12-10,95000,1bed room+Hall,Business Bay
CNT2128962059,2025-02-03,99267,3 bed rooms+hall,Madinat Al Mataar
CNT2133609172,2025-11-01,68500,2 bed rooms+hall,Al Murqabat
CNT2133930202,2025-11-03,50164,Studio,Al Barsha South Fifth
CNT2128579494,2025-01-28,20000,Office,Al Khabeesi
CNT2131958857,2025-04-20,10656,Room in labor Camp,Muhaisanah Second
CNT2133119087,2025-10-23,36500,1bed room+Hall,Al Qusais Industrial Fifth
CRT2131727806,2025-07-01,256667,4 bed rooms+hall,Wadi Al Safa 5
CNT2131353872,2025-04-15,47600,2 bed rooms+hall,Al Warsan First
CNT2133215948,2025-10-07,102354,Office,Al Karama
CNT2128443219,2025-01-22,15000,Office,Al Khabeesi
CNT2132950799,2025-05-01,234000,Studio,Dubai Investment Park First
CNT2130222906,2025-03-01,606000,Room in labor Camp,Jabal Ali Industrial First
CNT2134303080,2026-01-01,3500000,Hotel,Al Suq Al Kabeer
CRT2131526326,2025-06-01,43333,4 bed rooms+hall,Al Waheda
CNT2134253430,2026-03-01,160000,1bed room+Hall,Business Bay
CNT2131933621,2025-07-25,53600,1bed room+Hall,Al Jadaf
CNT2131874232,2025-06-17,42212,Shop,Madinat Dubai Almelaheyah
CNT2133829359,2025-12-10,44770,1bed room+Hall,Al Nahda First
CRT2131805966,2025-07-01,85000,2 bed rooms+hall,Al Hebiah Fourth
CNT2134035106,2025-11-26,150000,4 bed rooms+hall,Jabal Ali First
CNT2133089839,2025-10-01,1036800,Labor Camp,Jabal Ali Industrial First
CRT2130181266,2025-02-10,88000,Office,Al Barsha South Fourth
CNT2133235344,2025-10-25,50000,1bed room+Hall,Warsan Fourth
CRT2130171296,2025-02-13,72105,2 bed rooms+hall,Al Thanyah First
CNT2133021300,2025-10-15,76200,Office,Al Goze Industrial First
CNT2134130902,2026-01-07,20000,Office,Saih Shuaib 2
CNT2127223651,2025-01-01,74000,Shop with a mezzanine,Al Dhagaya
CNT2132848851,2025-10-01,20000,Office,AL TWAR FIFTH
CNT2133050988,2025-10-03,25500,1bed room+Hall,Muhaisanah Fourth
CRT2132105796,2025-07-15,185000,3 bed rooms+hall,Wadi Al Safa 5
CNT2132772109,2025-09-06,15000,Office,Al Rega
CNT2132328721,2025-07-25,110200,3 bed rooms+hall,Al Jadaf
CNT2133410491,2025-11-07,20000,Office,Dubai Investment Park First
CNT2130529108,2025-03-21,37000,Office,Al Muteena
CRT2131803696,2025-06-20,100000,Hotel,Al Rowaiyah First
CNT2134289777,2025-10-01,49000,2 bed rooms+hall,AL QUSAIS
CRT2132363946,2025-09-01,60000,Studio,Al Thanyah Fifth
CNT2133926961,2026-01-01,115000,4 bed rooms+hall,Hor Al Anz
CNT2134250733,2025-12-30,35000,1bed room+Hall,AL QUSAIS
CNT2132997842,2025-10-13,16000,Office,Business Bay
CNT2132737824,2025-10-24,500000,Hotel,Al Thanyah First
CNT2132791720,2025-08-27,53400,Room in labor Camp,Saih Shuaib 2
CNT2127674605,2025-02-05,55650,1bed room+Hall,Mankhool
CNT2132673753,2025-09-17,60000,Studio,Al Hudaiba
CNT2132376888,2025-08-10,315000,Room in labor Camp,Muhaisanah Second
CNT2130289716,2025-02-01,3212423,Shop,Oud Metha
CNT2130224190,2025-04-05,95000,1bed room+Hall,Marsa Dubai
CRT2132539696,2025-10-09,125000,2 bed rooms+hall,Muhaisanah First
CNT2133002476,2025-10-13,20000,Office,Al Murqabat
CNT2132516950,2025-07-04,16000,Studio,Al Warsan First
CNT2130921841,2025-02-18,170000,2 bed rooms+hall,Saih Shuaib 2
CRT2130916886,2025-05-14,75000,2 bed rooms+hall,Jabal Ali First
CNT2128538187,2025-01-27,40000,Studio,Al Hebiah Fourth
CNT2130098276,2025-03-10,15000,Office,Al Goze Industrial Third
CNT2133011006,2025-10-27,44000,Studio,Jabal Ali First
CNT2131085687,2025-05-01,23400,Room in labor Camp,Al Goze Industrial Second
CNT2131740676,2025-07-07,12000,Office,Al Qusais Industrial Fourth
CRT2132842906,2025-09-08,31500,1bed room+Hall,Al Warsan First
CNT2133653090,2025-11-27,50000,2 bed rooms+hall,Al Thanyah Fifth
CNT2132870025,2025-10-26,39050,1bed room+Hall,Al Goze Industrial Second
CNT2133833797,2025-09-30,127780,Warehouse,Saih Shuaib 3
CNT2132883688,2025-08-27,63000,1bed room+Hall,Al Karama
CNT2131878437,2025-07-09,439560,1bed room+Hall,Dubai Investment Park Second
CNT2134261436,2025-12-25,55000,1bed room+Hall,Al Barsha South Fourth
CNT2134329638,2026-01-20,15000,Office,Jabal Ali First
CNT2132438976,2025-07-05,35000,1bed room+Hall,AL QUSAIS
CNT2130830716,2025-05-08,14000,Office,Port Saeed
CNT2132410611,2025-08-25,59000,1bed room+Hall,Al Barshaa South Third
CNT2132852349,2025-09-19,35000,1bed room+Hall,AL TWAR FIFTH
CNT2127552456,2025-01-07,15000,Office,Al Mararr
CNT2133955906,2025-12-01,45148,1bed room+Hall,Dubai Investment Park First
CNT2131553969,2025-01-01,122400,Room in labor Camp,Al Goze Third
CNT2134054420,2026-01-01,35000,Studio,Naif
CNT2129978137,2025-02-28,16000,Office,Al Goze First
CRT2128309596,2025-02-09,12000,Office,Hatta
CRT2132627576,2025-09-11,450000,4 bed rooms+hall,Al Hebiah Fourth
CNT2130331955,2025-04-05,332683,5 bed rooms+hall,Jumeirah Third
CNT2134265515,2026-01-15,50400,1bed room+Hall,Al Barsha First
CNT2132613645,2025-09-15,95000,3 bed rooms+hall,Muhaisanah Fourth
CNT2130297880,2025-03-26,32727,Room in labor Camp,Muhaisanah Second
CNT2132417275,2025-09-03,58000,2 bed rooms+hall,Al Qusais Industrial First
CNT2133158376,2025-10-26,30000,1bed room+Hall,Al Baraha
