transaction_id,trans_group,procedure_name,instance_date,property_type,property_sub_type,property_usage,reg_type,area_name,building_name,project_name,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,actual_worth,meter_sale_price
1-102-2025-56126,Sales,Sell - Pre registration,2025-06-30,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 2,BELGRAVIA GARDENS - TOWER B,BELGRAVIA GARDENS,IMG World Adventures,,,2 B/R,1,102.74,1786828.0,17391.75
1-41-2024-22669,Sales,Delayed Sell,2024-11-18,Land,,Residential,Existing Properties,Al Hebiah Third,,DAMAC HILLS-BEL AIR,Motor City,,,,0,496.01,5000000.0,10080.44
1-102-2025-5684,Sales,Sell - Pre registration,2025-01-27,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,Mass Residence,Mass Residence,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,65.49,1020000.0,15574.9
1-11-2024-26856,Sales,Sell,2024-07-22,Unit,Flat,Residential,Existing Properties,Al Barsha South Fourth,Binghatti Luna,Binghatti Luna,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,3 B/R,1,138.61,1550000.0,11182.45
1-11-2025-8799,Sales,Sell,2025-02-28,Unit,Flat,Residential,Existing Properties,Al Warsan First,U-13,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,83.0,415000.0,5000.0
1-41-2024-9369,Sales,Delayed Sell,2024-05-15,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 5,,Arabian Ranches III - JOY,Hamdan Sports Complex,,,3 B/R,0,128.58,2350000.0,18276.56
1-11-2024-20541,Sales,Sell,2024-06-06,Unit,Office,Commercial,Existing Properties,Al Thanyah First,I RISE TOWER,I - RISE TOWER,Burj Al Arab,Dubai Internet City,Mall of the Emirates,Office,1,321.46,4342513.0,13508.72
1-11-2024-21278,Sales,Sell,2024-06-11,Unit,Flat,Residential,Existing Properties,Palm Jumeirah,THE PALM TOWER,THE PALM TOWER,Burj Al Arab,Palm Jumeirah,Marina Mall,Studio,1,48.6,2350000.0,48353.91
1-102-2025-87428,Sales,Sell - Pre registration,2025-09-12,Unit,Office,Commercial,Off-Plan Properties,Al Hebiah First,Capital One,Capital One,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Office,1,116.41,2438130.0,20944.33
1-11-2024-14212,Sales,Sell,2024-04-25,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,AL Dhafrah-4,,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,70.14,960000.0,13686.91
1-102-2025-35833,Sales,Sell - Pre registration,2025-04-29,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah First,Sobha Orbis Tower B,Sobha Orbis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,50.65,1024976.0,20236.45
1-102-2025-128469,Sales,Sell - Pre registration,2025-12-16,Unit,Shop,Commercial,Off-Plan Properties,Al Thanyah Fifth,THE WIND TOWER II,THE WIND TOWER II,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Shop,1,31.02,485534.0,15652.29
1-11-2024-21005,Sales,Sell,2024-06-10,Villa,,Residential,Existing Properties,Wadi Al Safa 6,,,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,,0,540.05,6100000.0,11295.25
1-102-2024-13730,Sales,Sell - Pre registration,2024-03-06,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Third,DAMAC HILLS - GOLF GREENS 2 -TOWER A,DAMAC HILLS - GOLF GREENS 2,Motor City,,,2 B/R,1,111.99,1947000.0,17385.48
1-102-2024-69283,Sales,Sell - Pre registration,2024-09-09,Unit,Flat,Residential,Off-Plan Properties,Nadd Hessa,Pearls by vision,Pearls by Vision,,,,2 B/R,1,122.05,1143900.0,9372.39
1-102-2024-45126,Sales,Sell - Pre registration,2024-06-24,Unit,Flat,Residential,Off-Plan Properties,Al Merkadh,Azizi Riviera 26,Azizi Riviera 26,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,30.09,491503.0,16334.43
1-11-2026-819,Sales,Sell,2026-01-08,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 7,,SERENA BELLA CASA,Hamdan Sports Complex,,,3 B/R,0,186.3,2825000.0,15163.71
1-11-2024-26627,Sales,Sell,2024-07-18,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,Hub Canal 1,HUB CANAL 1 TOWER,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,92.48,640000.0,6920.42
1-110-2025-519,Sales,Lease to Own Registration,2025-08-01,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,GLOBAL GOLF RESIDENCE 2,GLOBAL GOLF RESIDENCE 2,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,121.16,1150000.0,9491.58
1-41-2025-1944,Sales,Delayed Sell,2025-01-09,Land,,Other,Existing Properties,Al Yelayiss 1,,DAMAC ISLANDS - MALDIVES 4,,,,,0,311.47,4177117.0,13410.98
1-102-2024-94281,Sales,Sell - Pre registration,2024-11-08,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fifth,DAMAC LAGOONS - LAGOON VIEWS 11 D,DAMAC LAGOONS - LAGOON VIEWS 11,,,,2 B/R,1,105.9,1961000.0,18517.47
1-11-2025-43477,Sales,Sell,2025-10-20,Unit,Hotel Apartment,Hospitality ,Existing Properties,Burj Khalifa,Address Residences Sky View 2,THE ADDRESS RESIDENCE - SKY VIEW,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,226.46,12100000.0,53431.07
1-102-2024-16579,Sales,Sell - Pre registration,2024-03-15,Unit,Flat,Residential,Off-Plan Properties,Al Safouh Second,Cavalli Casa Tower,CAVALLI CASA TOWER,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,90.92,2430000.0,26726.79
1-102-2024-46733,Sales,Sell - Pre registration,2024-07-01,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fifth,Rosemont Residences,ROSEMONT RESIDENCES ,,,,2 B/R,1,95.24,1376828.0,14456.4
1-41-2024-11853,Sales,Delayed Sell,2024-06-12,Land,,Commercial,Existing Properties,Wadi Al Safa 7,,The Acres,,,,,0,477.36,7020000.0,14705.88
1-102-2024-44269,Sales,Sell - Pre registration,2024-06-21,Unit,Flat,Residential,Off-Plan Properties,Ras Al Khor Industrial First,Sobha One - A,SOBHA ONE,,,,1 B/R,1,75.77,1627082.0,21473.96
1-102-2025-129532,Sales,Sell - Pre registration,2025-12-18,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 3,Binghatti Vintage,Binghatti Vintage,IMG World Adventures,,,Studio,1,34.77,699999.0,20132.27
1-11-2024-23530,Sales,Sell,2024-06-27,Land,,Residential / Commercial,Existing Properties,Al Hebiah First,,15 CASCADE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,,0,11671.59,110728548.0,9487.01
1-102-2025-71698,Sales,Sell - Pre registration,2025-08-06,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Peninsula Four,Peninsula Four,Downtown Dubai,Business Bay Metro Station,Dubai Mall,3 B/R,1,179.91,2807983.0,15607.71
1-11-2024-40688,Sales,Sell,2024-10-25,Unit,Flat,Residential,Existing Properties,Business Bay,Marquise Square Tower,MARQUISE SQUARE TOWER,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,47.98,1075000.0,22405.17
1-102-2024-40883,Sales,Sell - Pre registration,2024-06-10,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,BEACH MANSION - TOWER 1,Beach Mansion,,,,3 B/R,1,148.78,5800000.0,38983.73
1-11-2025-42608,Sales,Sell,2025-10-13,Unit,Flat,Residential,Existing Properties,Business Bay,Peninsula One,Peninsula One,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,37.65,1225000.0,32536.52
1-102-2025-56291,Sales,Sell - Pre registration,2025-06-30,Unit,Flat,Residential,Off-Plan Properties,Nadd Hessa,Timez By Danube,Timez By Danube,IMG World Adventures,,,1 B/R,1,50.79,1070190.0,21070.88
1-102-2025-93556,Sales,Sell - Pre registration,2025-09-24,Unit,Flat,Residential,Off-Plan Properties,Bukadra,Skyvue Stellar,Skyvue,,,,2 B/R,1,110.71,3217509.0,29062.5
1-102-2025-2686,Sales,Sell - Pre registration,2025-01-15,Unit,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,Vida Residences Club Point-Building B,Vida Residences Club Point,,,,3 B/R,1,145.29,3998888.0,27523.49
1-102-2024-29270,Sales,Sell - Pre registration,2024-05-07,Villa,Villa,Residential,Off-Plan Properties,Wadi Al Safa 7,,Reportage Village 1 ,Hamdan Sports Complex,,,2 B/R,0,88.0,786656.0,8939.27
1-102-2024-41019,Sales,Sell - Pre registration,2024-06-10,Unit,Flat,Residential,Off-Plan Properties,Al Merkadh,Azizi Riviera 44,Azizi Riviera 44,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,31.5,753300.0,23914.29
1-41-2025-12567,Sales,Delayed Sell,2025-04-25,Land,,Commercial,Existing Properties,Palm Jabal Ali,,Palm Jebel Ali - Frond E,,,,,0,685.0,20270000.0,29591.24
1-102-2023-67980,Sales,Sell - Pre registration,2024-01-29,Unit,Flat,Residential,Off-Plan Properties,Jabal Ali First,California BY SD,California by SD ,,,,Studio,1,37.91,792633.0,20908.3
1-11-2024-39493,Sales,Sell,2024-10-17,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,OLYMPIC PARK 3,OLYMPIC PARK 3,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,135.63,1050000.0,7741.65
1-41-2025-15654,Sales,Delayed Sell,2025-05-22,Land,,Other,Existing Properties,Al Yelayiss 1,,DAMAC ISLANDS - BALI 1,,,,,0,144.58,2361600.0,16334.21
1-102-2024-78262,Sales,Sell - Pre registration,2024-10-02,Unit,Flat,Residential,Off-Plan Properties,Jabal Ali First,Primero Residences by Main Realty,Primero Residences by Main Realty,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,2 B/R,1,118.92,1475000.0,12403.3
1-41-2024-5974,Sales,Delayed Sell,2024-03-21,Unit,Flat,Residential,Existing Properties,Al Merkadh,Sobha Hartland Waves Grande,Sobha Hartland Waves Grande,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,66.0,1450000.0,21969.7
1-102-2024-49167,Sales,Sell - Pre registration,2024-07-11,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,1 WOOD RESIDENCE,1WOOD RESIDENCE ,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,40.47,597028.0,14752.36
1-45-2024-1161,Sales,Sell Development,2024-08-30,Unit,Flat,Residential,Existing Properties,Nadd Hessa,SILICON GATE 3,SILICON GATE 3,IMG World Adventures,,,2 B/R,1,98.05,630000.0,6425.29
1-102-2025-127074,Sales,Sell - Pre registration,2025-12-15,Unit,Office,Commercial,Off-Plan Properties,Al Hebiah First,Capital One,Capital One,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Office,1,96.87,1889058.0,19500.96
1-11-2025-19587,Sales,Sell,2025-05-16,Unit,Flat,Residential,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,SWAY RESIDENCES,,Global Village,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,95.95,1910000.0,19906.2
1-11-2025-34620,Sales,Sell,2025-08-19,Unit,Flat,Residential,Existing Properties,Al Warsan First,HDS SUNSTAR 2,,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,66.98,470000.0,7017.02
1-11-2024-19149,Sales,Sell,2024-05-29,Villa,,Residential,Existing Properties,Al Thanayah Fourth,,,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,603.87,5668495.0,9386.95
1-45-2024-466,Sales,Sell Development,2024-04-15,Unit,Flat,Residential,Existing Properties,Nadd Hessa,TOPAZ RESIDENCES 1,TOPAZ RESIDENCES 1,IMG World Adventures,,City Centre Mirdif,1 B/R,1,71.53,590000.0,8248.29
1-102-2024-78488,Sales,Sell - Pre registration,2024-09-30,Villa,Villa,Residential,Off-Plan Properties,Dubai Investment Park Second,,DAMAC RIVERSIDE - SAGE,,,,4 B/R,0,143.65,2658000.0,18503.31
1-11-2024-42753,Sales,Sell,2024-11-11,Unit,Flat,Residential,Existing Properties,Al Hebiah First,WESTON COURT 2,,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,87.61,663397.0,7572.17
1-102-2024-60876,Sales,Sell - Pre registration,2024-08-14,Unit,Hotel Rooms,Hospitality ,Off-Plan Properties,Al Hebiah Fourth,The First Collection at Dubai Sports City,The First Collection at Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,29.24,1486650.0,50843.02
1-102-2025-55199,Sales,Sell - Pre registration,2025-06-25,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 5,Cove Edition Residence 5 by Imtiaz,COVE EDITION RESIDENCE 5 by Imtiaz,IMG World Adventures,,,1 B/R,1,73.66,1104011.0,14987.93
1-11-2024-10845,Sales,Sell,2024-03-26,Unit,Flat,Residential,Existing Properties,Al Barshaa South Third,GREEN DIAMOND 1 A,GREEN DIAMOND 1,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,79.48,850000.0,10694.51
1-102-2025-97901,Sales,Sell - Pre registration,2025-10-02,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,Binghatti Amberhall,Binghatti Amberhall,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,37.05,740000.0,19973.01
1-102-2026-4075,Sales,Sell - Pre registration,2026-01-14,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 3,TULIP OASIS 10,TULIP OASIS 10,,,,1 B/R,1,89.7,1159107.0,12922.04
1-11-2026-663,Sales,Sell,2026-01-07,Land,,Residential,Existing Properties,Al Ttay,,,,,,,0,2381.57,6912050.0,2902.31
1-41-2024-16820,Sales,Delayed Sell,2024-08-16,Land,,Commercial,Existing Properties,Jabal Ali First,,Tilal AL Furjan- Phase One,,,,,0,360.0,4650000.0,12916.67
1-102-2025-78630,Sales,Sell - Pre registration,2025-08-21,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah First,Sobha Solis Tower A,Sobha Solis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,62.51,1362521.0,21796.85
1-102-2024-20273,Sales,Sell - Pre registration,2024-04-01,Unit,Flat,Residential,Off-Plan Properties,Al Yelayiss 2,Kaya,Kaya,,,,1 B/R,1,57.58,727888.0,12641.33
1-102-2025-23431,Sales,Sell - Pre registration,2025-03-21,Unit,Flat,Residential,Off-Plan Properties,Al Jadaf,Binghatti Ghost,Binghatti Ghost,,,,Studio,1,41.86,855000.0,20425.23
1-41-2025-1014,Sales,Delayed Sell,2025-01-09,Land,,Other,Existing Properties,Al Yelayiss 1,,DAMAC ISLANDS - BORA BORA 3,,,,,0,372.8,657584.0,1763.91
1-11-2025-35938,Sales,Sell,2025-08-28,Villa,,Residential,Existing Properties,Al Hebiah Sixth,,MUDON PHASE 3 _  NEIGHBOURHOOD I- ARABELLA,Dubai Cycling Course,,,,0,187.29,3300000.0,17619.73
1-102-2026-2766,Sales,Sell - Pre registration,2026-01-14,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fifth,LEVEN RESIDENCES,LEVEN RESIDENCES,Sports City Swimming Academy,Damac Properties,Marina Mall,1 B/R,1,58.62,1119533.0,19098.14
1-11-2025-18647,Sales,Sell,2025-05-05,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 7,,AR II Camelia 2,Motor City,,,4 B/R,0,236.0,4030000.0,17076.27
1-11-2024-14216,Sales,Sell,2024-04-25,Villa,Villa,Residential,Existing Properties,Wadi Al Safa 5,,La Rosa Phase 2,IMG World Adventures,,,4 B/R,0,244.48,2900000.0,11861.91
1-102-2024-33536,Sales,Sell - Pre registration,2024-05-20,Villa,Villa,Residential,Off-Plan Properties,Al Yufrah 1,,The Valley - Lillia,,,,3 B/R,0,137.77,2269888.0,16475.92
1-102-2025-113781,Sales,Sell - Pre registration,2025-11-10,Unit,Flat,Residential,Off-Plan Properties,Al Jadaf,Binghatti Twilight,Binghatti Twilight,Dubai International Airport,Creek Metro Station,City Centre Mirdif,2 B/R,1,81.25,1806000.0,22227.69
1-102-2024-15022,Sales,Sell - Pre registration,2024-03-11,Villa,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,,Arabian Ranches lll - Anya,,,,4 B/R,0,258.01,2972888.0,11522.38
1-41-2024-18884,Sales,Delayed Sell,2024-09-23,Land,,Commercial,Existing Properties,Madinat Hind 4,,DAMAC HILLS (2) - VIOLET,,,,,0,112.85,1854720.0,16435.27
1-102-2025-90021,Sales,Sell - Pre registration,2025-09-17,Unit,Flat,Residential,Off-Plan Properties,Bukadra,Skyscape Altius,SKYSCAPE,,,,1 B/R,1,76.89,1957369.0,25456.74
1-41-2024-2100,Sales,Delayed Sell,2024-01-29,Unit,Flat,Residential,Existing Properties,Al Yelayiss 2,Town Square Jenna 1,TOWN SQUARE JENNA AND WARDA,Dubai Cycling Course,,,1 B/R,1,65.69,630000.0,9590.5
1-11-2025-24616,Sales,Sell,2025-06-16,Unit,Office,Commercial,Existing Properties,Al Thanyah First,I RISE TOWER,I - RISE TOWER,Burj Al Arab,Dubai Internet City,Mall of the Emirates,Office,1,85.2,2595597.0,30464.75
1-102-2025-56584,Sales,Sell - Pre registration,2025-06-30,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Fifth,DAMAC LAGOONS - LAGOON VIEWS 12 D,DAMAC LAGOONS - LAGOON VIEWS 12,,,,1 B/R,1,72.05,1428000.0,19819.57
1-41-2024-5878,Sales,Delayed Sell,2024-03-20,Unit,Flat,Residential,Existing Properties,Al Barsha South Fourth,PANTHEON ELYSEE,PANTHEON ELYSEE,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,39.37,600000.0,15240.03
1-102-2025-93806,Sales,Sell - Pre registration,2025-09-25,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fourth,Binghatti Circle,Binghatti Circle ,Sports City Swimming Academy,Dubai Internet City,Marina Mall,Studio,1,36.56,674999.0,18462.77
1-102-2025-92458,Sales,Sell - Pre registration,2025-09-23,Unit,Flat,Residential,Off-Plan Properties,Al Jadaf,Binghatti Twilight,Binghatti Twilight,Dubai International Airport,Creek Metro Station,City Centre Mirdif,1 B/R,1,74.48,1352000.0,18152.52
1-102-2024-45577,Sales,Sell - Pre registration,2024-10-02,Unit,Flat,Residential,Off-Plan Properties,Me'Aisem First,Samana Lake Views 2,Samana Lake Views 2,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,39.04,683337.0,17503.51
1-11-2025-18005,Sales,Sell,2025-04-30,Unit,Office,Commercial,Existing Properties,Trade Center First,LATIFA TOWER,LATIFA TOWER,Burj Khalifa,Emirates Towers Metro Station,Dubai Mall,Office,1,98.74,1900000.0,19242.45
1-102-2025-79360,Sales,Sell - Pre registration,2025-08-25,Unit,Flat,Residential,Off-Plan Properties,Madinat Dubai Almelaheyah,Baystar by VIDA Tower 1,Baystar by VIDA,,,,2 B/R,1,117.48,5210888.0,44355.53
1-11-2025-52231,Sales,Sell,2025-12-12,Unit,Flat,Residential,Existing Properties,Marsa Dubai,Murjan 1,,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2 B/R,1,122.33,2650000.0,21662.72
1-41-2025-24766,Sales,Delayed Sell,2025-09-02,Land,,Other,Existing Properties,Al Yelayiss 1,,DAMAC ISLANDS - MALDIVES 3,,,,,0,234.9,3409000.0,14512.56
1-11-2024-47125,Sales,Sell,2024-12-06,Unit,Flat,Residential,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,Socio Tower 1,Socio,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,67.71,1855000.0,27396.25
1-102-2024-52331,Sales,Sell - Pre registration,2024-07-19,Unit,Flat,Residential,Off-Plan Properties,Al Merkadh,Naya 3,Naya at District One,,,,1 B/R,1,71.8,1527800.0,21278.55
1-102-2025-75267,Sales,Sell - Pre registration,2025-08-14,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Binghatti Skyrise - TOWER B,Binghatti Skyrise,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,39.54,1449999.0,36671.7
1-102-2024-99957,Sales,Sell - Pre registration,2024-11-27,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 5,Samana IBIZA,Samana IBIZA,IMG World Adventures,,,Studio,1,42.56,745622.0,17519.32
1-102-2025-116103,Sales,Sell - Pre registration,2025-11-17,Unit,Flat,Residential,Off-Plan Properties,Madinat Dubai Almelaheyah,Breez by Danube,Breez by Danube,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,Studio,1,43.33,1597000.0,36856.68
1-11-2024-7996,Sales,Sell,2024-03-05,Unit,Flat,Residential,Existing Properties,Nad Al Shiba First,DMS Two,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,79.71,1550000.0,19445.49
1-102-2025-33233,Sales,Sell - Pre registration,2025-04-22,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Bayz 102 By Danube,Bayz 102 By Danube ,,,,2 B/R,1,112.39,3523000.0,31346.21
1-102-2025-99648,Sales,Sell - Pre registration,2025-10-07,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fifth,Binghatti Flare 02,Binghatti Flare 02,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,142.93,1979999.0,13852.93
1-102-2024-87328,Sales,Sell - Pre registration,2024-10-17,Unit,Flat,Residential,Off-Plan Properties,Madinat Al Mataar,AZIZI VENICE 9 -B,AZIZI VENICE 9 ,,,,Studio,1,33.64,678000.0,20154.58
1-102-2024-106528,Sales,Sell - Pre registration,2024-12-19,Unit,Flat,Residential,Off-Plan Properties,Bukadra,Skyscape Avenue,SKYSCAPE,,,,1 B/R,1,89.54,2139925.0,23899.1
1-102-2024-36697,Sales,Sell - Pre registration,2024-05-27,Unit,Flat,Residential,Off-Plan Properties,Ras Al Khor Industrial First,Sobha One - A,SOBHA ONE,,,,1 B/R,1,68.11,1506582.0,22119.84
