area_id,name_en
506,Al Yelayiss 1
353,Emirates Hills Fourth
430,Dubai International Airport
411,Palm Jabal Ali
507,Al Yelayiss 2
346,Al Hamriya Port
520,Al Layan 2
239,Al Baraha
486,Me'Aisem Second
494,Umm Addamin
397,Al Khawaneej Second
298,Al Warqa Third
376,Ras Al Khor Industrial First
361,Muhaisanah Fourth
372,Al Goze Industrial Second
400,Al Eyas
524,Muragab
274,Shandagha East
258,Muhaisna
414,Al Barshaa South Second
466,Wadi Al Safa 4
499,Al Maha
314,Al Saffa Second
370,Um Suqaim Third
266,Al Satwa
263,Al-Nahdah
284,Jabal Ali
340,Ghadeer Al tair
240,Port Saeed
404,Mushrif
231,Al Mamzer
348,Al Goze Fourth
502,Madinat Hind 1
357,AL TWAR FIFTH
349,Grayteesah
354,Al Warqa Second
412,Al Merkadh
305,AL QUSAIS
526,Business Bay
336,Nad Al Shiba Second
312,Muhaisanah First
362,Naif
291,Tareeq Al Aweer
431,Al-Cornich
488,Al Wohoosh
341,Trade Center First
273,Al-Baloosh
480,Saih Shuaib 1
472,Jabal Ali Second
339,Al Mararr
484,Nadd Hessa
511,Saih Alsalam
458,Dubai Investment Park First
293,Umm Hurair
295,Margham
401,Wadi Al Amardi
321,Al Qusais Industrial Third
390,Burj Khalifa
459,Dubai Investment Park Second
529,Al Yufrah 4
272,Al Baharna
332,Zaabeel Second
504,Madinat Hind 3
406,Nad Al Shiba Fourth
509,Al Yelayiss 4
517,Saih Shuaelah
328,Al Jafliya
465,Wadi Al Safa 3
363,Al Qusais Industrial First
439,Universe Islands
344,Al Warsan Second
433,Al Thanyah Second
461,Almarmum Third
377,Al-Nakhal
410,Palm Jumeirah
437,Al Kheeran
324,Shandagha
528,Al Yufrah 3
447,Al Khairan First
481,Hessyan Second
276,Al Bada
260,Al-Souq Al-Muqayatah
423,Al-Aweer
381,Oud Al Muteena
250,Al-Souq Al Kabeer (Deira)
322,Al Qusais Industrial Fourth
355,Al Nahda First
230,Abu Hail
286,Zabeel East
375,Jumeirah Second
482,Hadaeq Sheikh Mohammed Bin Rashid
330,Marsa Dubai
418,Naif North
460,Almarmum First
435,Al Hebiah Fourth
374,Um Al Sheif
296,Al Ruwayyah
525,Hatta
380,Al Mizhar
252,Al-Riqqa East
523,Al Hebiah Third
315,Al Manara
476,Jabal Ali Third
360,Muhaisanah Second
485,Me'Aisem First
318,Jumeirah Third
521,Hafair
487,Anakhali
469,Al Yufrah 1
493,Al Rowaiyah Second
342,Ras Al Khor Industrial Third
352,Al Thanayah Fourth
407,Tawi Alfuqa
238,Al Dhagaya
369,Al Barsha Third
399,Al Aweer Second
498,Um Almoameneen
351,Al Thanyah Third
402,AL MIZHAR FOURTH
500,Um Esalay
383,Jumeirah
446,Al Wajehah Al Bhariyah
449,Al Yufrah 2
464,Wadi Al Safa 2
497,Lehbab Second
394,Al Mizhar Second
236,Burj Nahar
503,Madinat Hind 2
237,Al Sabkha
316,Al Mizhar First
522,Hessyan First
388,Oud Metha
271,Al Karama
345,Al Warsan Third
251,Naif South
259,Al-Musalla (Deira)
455,Saih Shuaib 4
313,Al Saffa First
235,Eyal Nasser
441,Al Barsha South Fourth
242,Al Ras
289,Al Baagh
408,Riqat Masali
382,Al Waheda
518,Mugatrah
421,Al-Mustashfa West
303,Um Suqaim First
301,Al Nahda Second
454,Saih Shuaib 3
299,Al Warqa Fourth
386,Al-Raulah
409,Al Barshaa South Third
490,Al Meryal
405,Bukadra
413,World Islands
513,Madinat Latifa
265,Al-Muhaisnah North
393,Al Barsha Second
244,Al Murqabat
371,Al Safouh Second
280,Zareeba Duviya
463,Wadi Al Safa 7
329,Trade Center Second
492,Al Rowaiyah First
398,Al Aweer First
508,Al Yelayiss 3
233,Hor Al Anz
246,Al-Murar Jadeed
443,Al Thanyah First
245,Al-Murar Qadeem
420,Mushrif
475,Muhaisanah Fifth
366,Al Kifaf
453,Saih Shuaib 2
292,Al Barsha
515,Saih Aldahal
334,Al Jadaf
256,Al-Tawar
358,Al Twar First
306,Al Twar Fourth
270,Al Safaa
278,Mankhool
368,Al Barsha First
445,Jabal Ali First
470,Al Faga'A
438,Al Ttay
