contract_id,contract_start_date,annual_rent,rooms,area_name
CNT2129952602,2025-02-27,17000,Office,Al Goze Third
CNT2133226897,2025-11-15,87000,Office,Al Muteena
CNT2131365105,2025-01-01,25000,Office,Al Goze Third
CNT2132940901,2025-09-01,75000,2,Al Murqabat
CNT2127034985,2025-01-05,75000,2,Al Hamriya
CNT2130729238,2025-05-01,1,4,Al Saffa Second
CNT2130832009,2025-05-08,15000,Office,Al Murqabat
CNT2131580561,2025-06-30,20000,Office,Dubai Investment Park First
CNT2130970077,2025-08-01,75000,2,Me'Aisem First
CRT2132096276,2025-08-01,25000,Office,Al Thanyah Fifth
CNT2129956171,2025-03-01,64209,1,Al Murqabat
CNT2131783188,2025-07-20,50000,2,Al Qusais
CNT2129826858,2025-02-18,15000,Office,Dubai Investment Park First
CNT2134235131,2025-07-11,22800,Room in labor camp,Al Goze Third
CNT2133982087,2025-12-22,38000,Studio,Al Hebiah Fourth
CNT2133071307,2025-10-17,15000,Office,Al Karama
CNT2132814550,2025-09-01,100000,2,Jumeirah First
CRT2131653746,2025-07-03,120000,1,Zaabeel Second
CNT2132309358,2025-08-15,114606,3,Al Thanyah First
CNT2134151388,2026-01-01,50000,2,Nad Hessa
CRT2131293486,2025-03-10,78000,2,Jabal Ali First
CNT2131323332,2025-06-16,32000,Office,Al Barsha First
CNT2131779913,2025-07-16,95000,2,Al Karama
CRT2131705406,2025-08-31,47040,1,Al Barsha South Second
CNT2133095606,2025-10-16,78000,1,Al Jadaf
CNT2132965225,2025-10-10,70000,1,Al Merkadh
CNT2127385659,2025-01-05,168530,Office,Port Saeed
CNT2129460896,2025-02-06,40000,1,Al Warsan First
CNT2131352376,2025-07-17,56700,2,Al Goze Industrial Second
CNT2133727117,2025-12-04,15000,Office,Al Twar Fifth
CNT2132650721,2025-09-14,16775,Office,Al Garhoud
CNT2132128586,2025-08-10,66000,1,Wadi Al Safa 2
CNT2133657916,2025-11-27,15000,Office,Al Suq Al Kabeer
CNT2128954441,2025-03-01,40000,1,Al Suq Al Kabeer
CNT2129256987,2025-02-01,64615,Shop,Al Warsan First
CNT2133057978,2025-11-12,138863,3,Marsa Dubai
CRT2128951956,2025-01-25,157808,2,Al Thanyah Fourth
CRT2127797901,2025-02-01,41000,Studio,Al Merkadh
CNT2132848350,2025-10-30,37800,1,Al Qusais
CNT2133746520,2025-12-01,55000,1,Ras Al Khor Industrial Second
CNT2132420716,2025-07-06,65000,1,Al Nahda Second
CNT2130512208,2025-05-05,36000,Studio,Wadi Al Safa 2
CNT2132805009,2025-10-06,28875,Studio,Al Rashidiya
CNT2130545426,2025-04-16,105600,Room in labor camp,Al Goze Third
CNT2132180314,2025-07-17,54000,2,Al Nahda Second
CNT2133794440,2025-12-09,15000,Office,Port Saeed
CNT2131780209,2025-07-10,15000,Office,Al Khabeesi
CNT2133781103,2025-12-01,59000,2,Al Nahda Second
CRT2131026296,2025-01-01,20000,Office,Business Bay
CNT2132924986,2025-10-07,15000,Office,Saih Shuaib 3
CNT2134043209,2025-12-29,44992,1,Wadi Al Safa 5
CNT2133087192,2025-11-27,159703,3,Jumeirah Second
CNT2128804547,2025-01-31,27500,1,Al Nahda Second
CNT2127806932,2025-01-11,15500,Office,Um Hurair Second
CRT2127073006,2025-01-01,44000,Studio,Wadi Al Safa 7
CNT2129977217,2025-03-08,74000,2,Al Karama
CNT2133404580,2025-01-15,185417,Food court,Al Safouh Second
CNT2129880200,2025-02-21,15000,Office,Dubai Investment Park First
CNT2131565939,2025-07-09,99000,1,Al Thanyah Fifth
CNT2133151964,2025-10-23,25000,Office,Al Goze Third
CNT2132060757,2025-07-17,55125,Shop,Wadi Al Amardi
CNT2128736194,2025-01-22,40700,1,Al Qusais
CNT2132677770,2025-08-01,50000,2,Al Nahda First
CNT2134285454,2026-01-25,165000,4,Wadi Al Safa 3
CNT2132363948,2025-08-24,30000,Studio,Al Mararr
CNT2133110545,2025-10-25,66000,2,Al Nahda First
CRT2131240676,2025-07-01,35000,Studio,Al Warsan First
CNT2130634532,2025-04-24,15000,Office,Al Khabeesi
CNT2131677106,2025-07-02,25200,Room in labor camp,Jabal Ali Industrial First
CNT2134305876,2026-01-19,85000,2,Al Mamzer
CNT2130283188,2025-03-29,40950,1,Al Goze Industrial Second
CNT2133828799,2025-12-15,33809,2,Al Qusais
CNT2131387707,2025-06-27,154000,3,Trade Center Second
CRT2133584376,2025-11-27,75000,2,Al Hebiah Second
CNT2127930595,2025-01-10,26000,Studio,Al Warsan First
CNT2129992055,2025-03-25,53000,2,Al Warsan First
CRT2133340626,2025-11-08,110000,1,Al Barsha South Fourth
CNT2132666160,2025-09-25,118000,2,Marsa Dubai
CNT2133058748,2025-10-17,41500,Studio,Wadi Al Safa 2
CNT2130254224,2025-04-03,65000,1,Al Barsha South Third
CNT2133469472,2025-11-07,38000,1,Al Qusais Industrial Fifth
CRT2130597536,2025-05-05,126000,2,Al Thanyah Third
CNT2130388172,2025-05-01,43700,1,Al Qusais Industrial Fourth
CNT2133519498,2026-02-23,75205,Shop,Al Hebiah Third
CNT2128731372,2025-12-02,22000,Shop,Al Suq Al Kabeer
CNT2130578287,2025-04-20,85000,2,Al Satwa
CNT2127296412,2025-01-09,50000,2,Nad Hessa
CNT2130046789,2025-03-15,53000,2,Al Nahda Second
CNT2132683783,2025-09-01,78000,2,Al Muteena
CNT2132723871,2025-11-01,21500,Studio,Naif
CNT2133710498,2026-02-01,94000,Shop,Naif
CRT2130224477,2025-04-01,47000,Studio,Al Merkadh
CNT2130223757,2025-04-15,40000,1,Al Qusais Industrial Fifth
CNT2132631646,2025-09-23,36000,1,Al Warsan First
CNT2127683465,2025-01-09,60000,1,Warsan Fourth
CRT2132539786,2025-09-20,120000,1,Marsa Dubai
CNT2133237275,2025-11-01,75000,1,Al Merkadh
CNT2130182786,2025-03-01,90000,2,Al Karama
CNT2131194249,2025-06-03,115000,3,Al Muteena
CNT2133789330,2025-12-05,60000,Office,Al Ras
CNT2133510317,2025-12-10,89250,2,Al Hebiah First
CNT2132313266,2025-01-15,42000,Shop,Al Satwa
CNT2131704042,2025-07-07,30000,Studio,Al Warsan First
CNT2133071878,2025-10-15,35000,Studio,Me'Aisem First
CNT2129957049,2025-03-01,80000,2,Mankhool
CNT2133114007,2025-11-21,33206,Studio,Jabal Ali First
CNT2128803899,2025-02-04,90000,2,Mankhool
CNT2132821223,2025-10-20,64000,1,Al Barsha South Fourth
CNT2130638441,2025-04-24,12000,Room in labor camp,Al Goze Third
CNT2129750370,2025-02-01,38000,Studio,Al Barsha First
CNT2132966460,2025-10-10,26700,Room in labor camp,Saih Shuaib 2
CNT2129906814,2025-02-25,55000,2,Hor Al Anz
CNT2131715827,2025-02-25,42000,1,Muhaisanah Fourth
CNT2131237387,2025-06-01,77175,Shop,Al Warqa First
CNT2132472932,2025-09-01,29900,Studio,Nad Hessa
CNT2130414102,2025-06-01,18000,Studio,Al Mararr
CNT2124737635,2025-01-27,83000,2,Al Murqabat
CNT2132453589,2025-09-01,40000,Studio,Al Barsha South Fourth
CNT2133225077,2025-08-01,84893,1,Marsa Dubai
CNT2129887385,2025-01-30,61000,2,Al Mararr
CNT2130493809,2025-04-10,56000,1,Al Karama
CRT2133944546,2025-12-10,60000,Store cooled,Ras Al Khor Industrial Third
CNT2129823103,2025-01-01,23000,Studio,Al Mararr
CNT2130245558,2025-04-15,55000,Office,Naif
CNT2126200853,2025-01-16,105000,2,Al Barsha First
CRT2133027216,2025-01-16,106000,1,Burj Khalifa
CNT2132769739,2025-02-10,84788,Shop,Dubai Investment Park Second
CRT2129053946,2025-02-20,31000,Studio,Me'Aisem First
CNT2132047008,2025-08-01,56000,Office,Hor Al Anz East
CNT2131733527,2025-07-07,15000,Office,Abu Hail
CNT2134074720,2026-01-01,57750,2,Al Raffa
CNT2130489911,2025-04-10,42000,Office,Al Barsha First
CRT2129982696,2025-01-01,160000,5,Al Warqa Fourth
CNT2130117923,2025-03-12,40000,Studio,Al Warsan First
CRT2132191476,2025-08-01,30000,Shop,Al Mararr
CNT2131979493,2025-08-01,85000,1,Al Barsha South Fourth
CRT2132205216,2025-08-20,133000,2,Al Hebiah First
CNT2133352945,2025-11-06,20000,Office,Port Saeed
CNT2130551664,2025-03-20,38500,1,Al Bada
CNT2133536329,2025-11-01,110000,Shop with a mezzanine,Al Bada
CNT2132585250,2025-09-11,70000,1,Mankhool
CNT2133812687,2025-12-23,60000,2,Hor Al Anz East
CNT2132126681,2025-08-01,84895,2,Um Hurair Second
CRT2134080396,2026-01-01,42000,1,Al Hamriya
CNT2133327514,2025-09-01,70000,2,Al Twar Fifth
CNT2130651457,2025-02-15,57000,1,Al Warsan First
CNT2134053719,2026-01-15,175000,3,Business Bay
CNT2132690094,2025-11-20,63000,2,Nad Hessa
CNT2130383653,2025-04-18,42000,1,Al Warsan First
CNT2130516227,2025-04-10,37000,1,Naif
CNT2130181891,2025-03-20,55000,Studio,Al Thanyah Fifth
CNT2131908728,2025-07-24,23678,Studio,Muhaisanah Fourth
CNT2132851857,2025-10-01,15000,Office,Saih Shuaib 3
CRT2132630746,2025-09-16,52000,Studio,Al Hebiah Fourth
CNT2131214145,2025-06-04,15000,Office,Al Mararr
CNT2134258918,2025-12-11,100000,Office,Port Saeed
CNT2131084759,2025-05-27,15000,Office,Hor Al Anz
CNT2133059131,2025-10-21,87500,2,Al Murqabat
CNT2129864395,2025-03-22,48400,1,Mirdif
CNT2133953520,2025-10-01,115000,Office,Trade Center First
CNT2131656279,2025-07-01,18000,Office,Al Karama
CNT2131912473,2025-07-22,100000,3,Madinat Hind 4
CRT2129440986,2025-02-10,90000,Shop,Al Thanyah Fifth
CNT2130725673,2025-04-30,20000,Office,Naif
CNT2130596567,2025-04-01,115719,2,Al Karama
CNT2131828979,2025-07-14,15000,Office,Al Garhoud
CNT2133262136,2025-10-31,20500,Office,Al Khabeesi
CNT2133635962,2025-12-05,110000,2,Al Barsha South Fourth
CNT2130183429,2025-04-01,65000,Office,Naif
CNT2132934327,2025-10-13,93000,3,Muhaisanah Fourth
CNT2130778430,2025-06-10,36500,1,Al Nahda Second
CNT2132649142,2025-09-16,20000,Office,Al Muteena
CRT2131402266,2025-05-15,45000,1,Al Thanyah Fifth
CRT2131505846,2025-07-01,60000,1,Al Yelayiss 2
CNT2130551205,2025-04-20,65000,1,Al Thanyah First
CNT2133962597,2025-12-23,16000,Office,Port Saeed
CNT2130915466,2025-03-17,70000,2,Al Qusais
CRT2132267666,2025-08-15,55000,1,Al Hebiah Fifth
CNT2131540075,2025-06-26,10000,Office,Al Baraha
CNT2128316292,2025-01-20,48000,1,Al Qusais
CNT2133225638,2025-10-20,76000,2,Al Yelayiss 2
CNT2132290681,2025-09-11,71500,2,Al Barsha First
CRT2134097961,2026-01-04,157300,2,Al Thanyah Fifth
CRT2131259826,2025-06-15,115000,1,Al Barsha South Fourth
CRT2133288925,2025-10-01,147000,2,Al Thanyah Fourth
CNT2131025538,2025-04-01,108000,3,Al Murqabat
CNT2130684455,2025-02-01,61100,Office,Ras Al Khor Industrial First
CNT2126945480,2025-01-01,170000,4,Mankhool
CRT2129645206,2025-03-01,48000,Studio,Al Merkadh
CNT2133084923,2025-10-20,55000,Studio,Me'Aisem First
CNT2132398189,2025-08-27,51923,1,Jabal Ali First
CNT2127306864,2025-01-02,30000,2,Business Bay
CNT2131695494,2025-06-15,150000,Room in labor camp,Al Goze Third
CNT2130227539,2025-03-09,73000,2,Al Hamriya
CNT2134134190,2026-02-01,80000,2,Al Murqabat
CNT2130866739,2025-05-11,65000,Studio,Business Bay
CRT2129870356,2025-02-20,20000,Shop,Hor Al Anz
CNT2130503445,2025-05-01,50820,1,Jabal Ali First
CNT2130954069,2025-05-17,15000,Office,Al Muteena
CRT2133498314,2025-11-15,120750,2,Al Khairan First
CRT2133655506,2025-11-27,15000,Office,Hor Al Anz
CNT2129112060,2025-02-15,186900,4,Jumeirah Third
CNT2131575226,2025-06-30,20000,Office,Dubai Investment Park First
CNT2132817574,2025-09-29,10000,Office,Al Goze First
CNT2133086518,2025-11-24,53708,2,Al Goze Industrial Second
CNT2131573051,2025-07-01,75000,1,Al Bada
CNT2132870862,2025-10-07,90000,1,Al Khairan First
CNT2127681979,2025-01-09,15000,Office,Hor Al Anz
CNT2131155176,2025-06-01,165000,3,Marsa Dubai
CNT2127829858,2025-01-28,48400,1,Al Bada
CNT2133953469,2025-12-29,155000,1,Hadaeq Sheikh Mohammed Bin Rashid
CNT2131994560,2025-07-25,10000,Office,Port Saeed
CNT2133912113,2025-12-01,38000,Studio,Al Barsha South Fourth
CNT2134277451,2026-01-16,18000,Office,Al Muteena
CNT2126660012,2025-01-18,61950,2,Mirdif
CNT2131825477,2025-07-19,38500,1,Al Qusais Industrial Fifth
CNT2128121790,2025-02-25,14000,Office,Al Raffa
CNT2134273609,2025-11-25,40000,1,Saih Shuaib 2
CNT2130827279,2025-05-08,15000,Office,Al Nahda Second
CNT2133789129,2025-12-09,45000,Office,Business Bay
CNT2130756887,2025-04-10,70000,2,Al Mamzer
CNT2128313089,2025-01-21,20000,Office,Hor Al Anz
CNT2134102371,2026-01-06,17000,Office,Al Mararr
CNT2132027205,2025-06-21,45000,Office,Hor Al Anz East
CNT2130159857,2025-03-01,144676,Warehouse,Saih Shuaib 2
CNT2128484088,2025-01-22,82000,2,Al Barsha South Third
CNT2133251088,2025-10-20,88000,Office,Business Bay
CNT2130390321,2025-04-07,120000,1,Al Merkadh
CNT2129884481,2025-02-20,150000,2,Al Barsha South Fourth
CNT2133710970,2025-11-19,55000,2,Al Baraha
CRT2132708616,2025-09-20,75000,1,Me'Aisem First
CNT2130639566,2025-04-24,17000,Office,Business Bay
CNT2132108746,2025-08-04,15000,Office,Al Goze Industrial First
CNT2132371149,2025-08-05,70000,Warehouse,Al Ttay
CNT2128966817,2025-02-01,30347,Office,Al Dhagaya
CRT2130021236,2025-01-03,120000,Studio,Marsa Dubai
CNT2131953907,2025-08-04,154000,3,Al Bada
CNT2133748694,2025-12-06,20000,Office,Hor Al Anz
CRT2131306446,2025-06-12,51000,Studio,Me'Aisem First
CNT2131717615,2025-07-05,60000,1,Al Barsha South Third
CNT2133537823,2025-11-18,20000,Office,Al Khabeesi
CNT2131220551,2025-06-01,57500,2,Al Nahda Second
CNT2130382045,2025-04-05,28000,Studio,Al Mararr
CRT2131284819,2025-08-01,185000,2,Burj Khalifa
CNT2132407394,2025-08-27,15000,Office,Dubai Investment Park First
CNT2131782246,2025-07-01,39000,1,Al Qusais Industrial Fifth
CNT2130680935,2025-06-06,65048,2,Mirdif
CNT2130886671,2025-05-13,20000,Office,Hor Al Anz
CNT2132016274,2025-04-20,75000,Shop,Warsan Fourth
CNT2133719240,2025-12-03,74520,Office,Al Barsha First
CNT2130061736,2025-03-06,15000,Office,Business Bay
CNT2131655517,2025-07-01,53000,2,Al Nahda Second
CNT2133417422,2025-11-18,48000,2,Al Qusais Industrial Fifth
CNT2132373512,2025-08-25,15000,Office,Business Bay
CNT2130271979,2025-02-07,10000,Office,Dubai Investment Park Second
CNT2130461096,2025-04-11,15000,Office,Al Mararr
CNT2130287099,2025-03-25,12000,Office,Port Saeed
CRT2131904356,2025-07-19,45000,1,Hor Al Anz
CNT2131158163,2025-06-15,55000,2,Al Nahda First
CRT2133220768,2025-10-28,75000,1,Al Barsha South Fourth
CRT2133316356,2025-11-05,170000,4,Al Yufrah 1
CRT2133614026,2025-11-24,120000,1,Business Bay
CNT2130148415,2025-04-01,44000,Studio,Al Raffa
CNT2133859832,2025-12-15,30000,Studio,Al Karama
CNT2132497774,2025-09-03,20000,Office,Jabal Ali Industrial First
CNT2131989189,2025-08-15,149500,3,Al Bada
CNT2130995298,2025-05-17,88000,1,Al Jadaf
CNT2130210341,2025-03-20,54500,2,Al Nahda First
CNT2133966582,2025-12-23,15000,Office,Hor Al Anz
CNT2127106106,2025-01-01,45000,2,Al Qusais Industrial Second
CNT2127687274,2025-01-01,41800,1,Al Suq Al Kabeer
CNT2133299680,2025-12-01,60500,2,Al Qusais Industrial Third
CNT2129250467,2025-03-01,137000,2,Al Barsha First
CNT2130246725,2025-03-01,36300,Office,Al Qusais Industrial Second
CRT2133266476,2025-10-31,15000,Studio,Port Saeed
CNT2130572107,2025-04-19,165000,2,Business Bay
CNT2128823633,2025-04-01,97900,Shop,Al Warqa First
CNT2134256611,2026-01-01,42113,Studio,Jabal Ali First
CNT2134042007,2025-12-30,17000,Office,Abu Hail
CNT2130935429,2025-05-16,45000,Office,Nad Hessa
CNT2131384787,2025-06-01,35200,Studio,Warsan Fourth
CNT2127266604,2025-02-05,75000,2,Al Nahda Second
CNT2132690554,2025-09-20,118000,2,Al Barsha South Fourth
CRT2134211386,2026-01-04,60000,1,Al Barsha South Second
CNT2133154431,2025-10-23,5000,Office,Hadaeq Sheikh Mohammed Bin Rashid
CNT2131904867,2025-07-24,75999,1,Madinat Dubai Almelaheyah
CNT2132995446,2025-09-12,58000,2,Al Qusais
CNT2130132940,2025-03-12,15000,Office,Hor Al Anz
CNT2133581778,2025-11-21,15000,Office,Business Bay
CNT2130095903,2025-03-01,63000,1,Al Warsan First
CNT2132299178,2025-08-19,20900,Office,Al Khabeesi
CNT2130247106,2025-03-21,15000,Office,Hor Al Anz
CNT2131689775,2025-04-07,72600,Shop,Um Hurair Second
CRT2133175046,2025-10-25,115000,1,Al Merkadh
CNT2132834592,2025-09-22,96000,Warehouse,Al Goze Industrial Fourth
CNT2134001536,2026-01-02,130275,1,Um Suqaim Third
CNT2131657070,2025-06-25,39000,Studio,Warsan Fourth
CNT2130774981,2025-05-11,77396,2,Mirdif
CRT2133740306,2025-12-01,185000,3,Wadi Al Safa 5
CRT2131762096,2025-07-02,120000,4,Al Rashidiya
CNT2134128368,2026-01-07,22291,Office,Al Mararr
CNT2133294260,2025-11-03,15000,Office,Saih Shuaib 3
CNT2133783787,2025-12-09,15000,Office,Al Khabeesi
CNT2133743293,2025-12-10,71000,2,Mirdif
CNT2132896710,2025-10-10,44000,1,Al Warqa First
CNT2131572835,2025-07-01,75000,1,Al Bada
CNT2130072725,2025-03-01,79800,Shop,Al Karama
CNT2128568910,2025-01-01,38462,1,Me'Aisem First
CNT2133781475,2025-11-18,41000,Office,Al Garhoud
CNT2131545069,2025-05-25,144900,4,Nad Hessa
CNT2130060341,2025-03-06,15000,Office,Hor Al Anz
CNT2133618257,2025-12-01,140000,3,Mirdif
CRT2133963736,2026-01-03,155000,2,Al Thanyah Fourth
CNT2133352770,2025-11-06,16000,Office,Al Nahda First
CNT2131684658,2025-07-07,59500,1,Al Thanyah First
CNT2130350143,2025-04-02,15000,Office,Al Khabeesi
CNT2132491254,2025-09-10,28980,1,Al Qusais
CNT2132946783,2025-10-02,34000,Office,Um Hurair Second
CNT2133798888,2026-03-13,73000,2,Jabal Ali First
CNT2127575666,2025-01-01,49500,2,Al Twar First
CNT2127845638,2025-01-01,147000,Office,Al Rega
CNT2132944500,2025-10-08,15000,Office,Al Mararr
CNT2128083178,2025-01-15,15000,Office,Al Twar Fifth
CNT2133210620,2025-10-28,24000,Office,Hor Al Anz
CNT2130845061,2025-05-09,16000,Office,Al Goze Third
CNT2133705334,2025-12-08,40000,1,Al Qusais Industrial Fifth
CNT2133401788,2025-11-09,60227,1,Jabal Ali First
CNT2133937812,2025-12-13,42000,1,Al Warqa First
CNT2130012059,2025-03-10,45100,1,Al Hebiah Fourth
CNT2130190181,2025-03-11,43890,2,Muhaisanah Fourth
CNT2131746737,2025-07-08,23500,Office,Mankhool
CRT2132310086,2025-08-22,85000,1,Al Barsha South Fourth
CNT2128313104,2025-02-20,99452,Office,Jabal Ali First
CNT2130445004,2025-04-12,50964,1,Warsan Fourth
