transaction_id,trans_group,procedure_name,instance_date,property_type,property_sub_type,property_usage,reg_type,area_name,building_name,project_name,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,actual_worth,meter_sale_price,area_sqft,Price_Per_SqFt
1-102-2025-14517,Sales,Sell - Pre registration,2025-02-25,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 3,LAZORD BY LAPIS,LAZORD BY LAPIS,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,Studio,1,36.89,655550.0,17770.4,397.08396,1650.910301186681
1-11-2024-17804,Sales,Sell,2024-05-21,Unit,Flat,Residential,Existing,Business Bay,THE STERLING WEST HOUSE,THE STERLING WEST HOUSE,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1,1,90.35,2000000.0,22136.14,972.5273999999998,2056.4973285071455
1-102-2024-30326,Sales,Sell - Pre registration,2024-05-09,Unit,Flat,Residential,Off-Plan,Ras Al Khor Industrial First,Sobha One - A,SOBHA ONE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2,1,102.15,2358492.0,23088.52,1099.5426,2144.97555619946
1-11-2025-21975,Sales,Sell,2025-05-26,Unit,Flat,Residential,Existing,Al Barsha South Fifth,AL JAWHARA TOWER,AL JAWHARA TOWER ,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,42.8,520000.0,12149.53,460.69919999999996,1128.7191295318073
1-102-2025-112799,Sales,Sell - Pre registration,2025-11-07,Villa,Villa,Residential,Off-Plan,Dubai Investment Park Second,MAG 505,DAMAC RIVERSIDE - OLIVE,Expo 2020 Site,Emirates Towers Metro Station,Dubai Mall,4,0,144.0,2703000.0,18770.83,1550.0159999999998,1743.852966679054
1-102-2024-2713,Sales,Sell - Pre registration,2024-01-17,Unit,Flat,Residential,Off-Plan,Al Hebiah Third,DAMAC HILLS - GOLF GREENS 1 - TOWER B,DAMAC HILLS - GOLF GREENS 1,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,62.65,1025080.0,16362.01,674.3646,1520.0679276462613
1-102-2025-4151,Sales,Sell - Pre registration,2025-01-21,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,Samana IBIZA,Samana IBIZA,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,76.77,1072033.0,13964.22,826.35228,1297.3074873103758
1-102-2024-79817,Sales,Sell - Pre registration,2024-10-02,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,Golf Point Tower 1,Golf Point,Al Makhtoum International Airport,Emirates Towers Metro Station,Mall of the Emirates,2,1,98.63,1662888.0,16859.86,1061.65332,1566.3192199125795
1-102-2025-70789,Sales,Sell - Pre registration,2025-08-05,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Sobha Solis Tower A,Sobha Solis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,50.72,1059143.0,20882.16,545.95008,1939.999715724925
1-102-2025-49747,Sales,Sell - Pre registration,2025-06-11,Unit,Flat,Residential,Off-Plan,Al Wasl,DAMAC CITY 2,DAMAC CITY 2,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,67.3,2233000.0,33179.79,724.4172,3082.477887051826
1-102-2025-130521,Sales,Sell - Pre registration,2025-12-22,Unit,Flat,Residential,Off-Plan,Al Barsha South Third,Marquis One,Marquis One,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,73.48,1204400.0,16390.85,790.93872,1522.7475524273234
1-102-2025-20372,Sales,Sell - Pre registration,2025-03-12,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,GREYGATE RESIDENCES BY ADE,GREYGATE RESIDENCES by ADE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,42.22,667000.0,15798.2,454.45608,1467.6885827999045
1-11-2025-54226,Sales,Sell,2025-12-26,Unit,Flat,Residential,Existing,Jabal Ali,MED 70,MOONSA Residences,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,Studio,0,45.0,510000.0,11333.33,484.38,1052.8923572401834
1-102-2024-26742,Sales,Sell - Pre registration,2024-04-29,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,AVANT GARDE RESIDENCES BY SKYLINE,AVANT GARDE RESIDENCES BY SKYLINE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,82.65,1040000.0,12583.18,889.6446,1169.0061402047515
1-11-2024-40215,Sales,Sell,2024-10-31,Unit,Flat,Residential,Existing,Business Bay,THE PAD,THE PAD,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2,1,141.51,3274879.0,23142.39,1523.2136399999997,2149.9800907770236
1-102-2025-55336,Sales,Sell - Pre registration,2025-06-26,Unit,Flat,Residential,Off-Plan,Me'Aisem First,Samana Portofino,Samana Portofino,Sports City Swimming Academy,Damac Properties,Marina Mall,2,1,113.07,1567209.0,13860.53,1217.08548,1287.6737301968305
1-11-2025-31872,Sales,Sell,2025-07-29,Unit,Flat,Residential,Existing,Al Hebiah Third,DAMAC HILLS - GOLF GATE,DAMAC HILLS - GOLF GATE,Motor City,Emirates Towers Metro Station,Dubai Mall,1,1,58.67,1000000.0,17044.49,631.52388,1583.4713962043684
1-102-2025-60791,Sales,Sell - Pre registration,2025-07-10,Unit,Flat,Residential,Off-Plan,Al Wasl,Castleton,Castleton ,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1,1,72.36,2450000.0,33858.49,778.8830399999999,3145.530040042983
1-11-2025-22595,Sales,Sell,2025-05-28,Unit,Flat,Residential,Existing,Al Barsha South Fourth,ROXANA RESIDENCE - D,ROXANA RESIDENCE ,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,90.51,840000.0,9280.74,974.24964,862.2020122070561
1-102-2024-103984,Sales,Sell - Pre registration,2024-12-12,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,NEVA RESIDENCES,NEVA RESIDENCES,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,48.27,579500.0,12005.39,519.57828,1115.3276076128511
1-102-2024-104804,Sales,Sell - Pre registration,2024-12-16,Unit,Flat,Residential,Off-Plan,Bukadra,The Waterway by Prestige One,The Waterway by Prestige One,Downtown Dubai,Creek Metro Station,Dubai Mall,2,1,120.57,2550000.0,21149.54,1297.8154799999998,1964.8401789752118
1-102-2025-75682,Sales,Sell - Pre registration,2025-08-15,Unit,Flat,Residential,Off-Plan,Al Barsha South Fifth,Sol Levante,SOL LEVANTE,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1,1,53.48,1061000.0,19839.19,575.6587199999999,1843.1059291519116
1-102-2025-80966,Sales,Sell - Pre registration,2025-08-27,Unit,Flat,Residential,Off-Plan,Bukadra,Skyvue Stellar,Skyvue,IMG World Adventures,Rashidiya Metro Station,City Centre Mirdif,1,1,66.78,1890497.0,28309.33,718.81992,2630.0008491695667
1-102-2025-13757,Sales,Sell - Pre registration,2025-02-20,Unit,Flat,Residential,Off-Plan,Jabal Ali Industrial Second,ELEVE by DEYAAR,ELEVE BY DEYAAR,Expo 2020 Site,UAE Exchange Metro Station,Ibn-e-Battuta Mall,2,1,112.95,1648437.0,14594.4,1215.7938,1355.8524480055746
1-11-2024-37972,Sales,Sell,2024-10-08,Unit,Flat,Residential,Existing,Jabal Ali,MOG 194,LAGO VISTA,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1,0,90.0,575000.0,6388.89,968.76,593.5422602089269
1-11-2025-52125,Sales,Sell,2025-12-12,Unit,Flat,Residential,Existing,Wadi Al Safa 5,Skycourts Tower D,SKY COURTS,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,78.29,590000.0,7536.08,842.71356,700.1192670971142
1-102-2025-99640,Sales,Sell - Pre registration,2025-10-07,Unit,Flat,Residential,Off-Plan,Al Barsha South Fifth,GUZEL TOWERS,GUZEL TOWERS,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,Studio,1,30.04,598548.0,19925.03,323.35056,1851.0807589137933
1-102-2024-89221,Sales,Sell - Pre registration,2024-10-23,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Vida Residences Club Point-Building A,Vida Residences Club Point,Motor City,Emirates Towers Metro Station,Dubai Mall,1,1,73.24,1732888.0,23660.4,788.3553599999999,2198.105179369872
1-102-2025-19579,Sales,Sell - Pre registration,2025-03-10,Unit,Flat,Residential,Off-Plan,Me'Aisem First,Binghatti Elite,Binghatti Elite,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,34.92,500000.0,14318.44,375.87888,1330.215733323458
1-102-2025-75884,Sales,Sell - Pre registration,2025-08-18,Unit,Flat,Residential,Off-Plan,Al Jadaf,Binghatti Starlight,Binghatti Starlight,Motor City,Dubai Internet City,Marina Mall,1,1,74.47,1391000.0,18678.66,801.5950799999999,1735.2900918503642
1-11-2025-26138,Sales,Sell,2025-06-23,Unit,Flat,Residential,Existing,Al Hebiah Fourth,GOLF VIEW RESIDENCE,GOLF VIEW RESIDENCE,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2,1,104.3,950000.0,9108.34,1122.6852,846.1855558441495
1-102-2025-111798,Sales,Sell - Pre registration,2025-11-06,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Binghatti Circle,Binghatti Circle ,Sports City Swimming Academy,Dubai Internet City,Marina Mall,1,1,70.81,1194118.0,16863.7,762.19884,1566.675173633169
1-102-2025-67208,Sales,Sell - Pre registration,2025-07-25,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,AZIZI VENICE 11,AZIZI VENICE 11,Motor City,Emirates Towers Metro Station,Dubai Mall,1,1,93.5,1170000.0,12513.37,1006.434,1162.5203441060219
1-102-2025-95962,Sales,Sell - Pre registration,2025-10-01,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Skyhills Residences 3 - TOWER B,Skyhills Residences 3,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,37.95,715258.0,18847.38,408.4938,1750.9641517202954
1-11-2025-14469,Sales,Sell,2025-04-11,Unit,Flat,Residential,Existing,Me'Aisem First,CENTRIUM TOWER 1,CENTRIUM TOWER,Sports City Swimming Academy,Damac Properties,Marina Mall,1,1,67.43,475200.0,7047.31,725.8165200000001,654.7109178501476
1-11-2024-38386,Sales,Sell,2024-10-10,Unit,Flat,Residential,Existing,Marsa Dubai,Park Island Fairfield,PARK ISLANDS,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2,1,120.96,2700000.0,22321.43,1302.01344,2073.7113128417477
1-102-2025-109325,Sales,Sell - Pre registration,2025-10-30,Unit,Flat,Residential,Off-Plan,Business Bay,Binghatti Skyrise - TOWER A,Binghatti Skyrise,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,39.23,900000.0,22941.63,422.27171999999996,2131.329088294144
1-102-2025-63909,Sales,Sell - Pre registration,2025-07-17,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Al Serh Residences 11 By Asak Real Estate Development,AL SERH RESIDENCES 11 BY ASAK REAL ESTATE DEVELOPMENT,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,43.2,719000.0,16643.52,465.0048,1546.2205981529653
1-102-2024-45035,Sales,Sell - Pre registration,2024-06-24,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,Sky Residences 1,Expo City Sky Residences,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,87.34,1843000.0,21101.44,940.12776,1960.3718541403352
1-102-2024-37649,Sales,Sell - Pre registration,2024-05-29,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Park Lane ? Building 2A,Park Lane,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1,1,70.51,1477888.0,20959.98,758.96964,1947.2294043276881
1-102-2025-72977,Sales,Sell - Pre registration,2025-08-11,Unit,Flat,Residential,Off-Plan,Business Bay,Binghatti Skyrise - TOWER C,Binghatti Skyrise,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1,1,89.79,1600000.0,17819.36,966.49956,1655.458591207222
1-102-2024-100263,Sales,Sell - Pre registration,2024-11-28,Unit,Flat,Residential,Off-Plan,Marsa Dubai,AETERNITAS TOWER,Aeternitas Tower,Burj Al Arab,Marina Towers,Marina Mall,2,1,155.13,3810000.0,24560.05,1669.8193199999998,2281.683984827772
1-102-2024-44080,Sales,Sell - Pre registration,2024-06-20,Unit,Flat,Residential,Off-Plan,Bukadra,360 Riverside Crescent,360 Riverside Crescent,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,2,1,95.3,2403300.0,25218.26,1025.8092,2342.8333456163195
1-102-2025-67251,Sales,Sell - Pre registration,2025-07-25,Unit,Flat,Residential,Off-Plan,Jabal Ali First,South Garden A,South Garden A,Expo 2020 Site,ENERGY Metro Station,Ibn-e-Battuta Mall,1,1,79.7,1100000.0,13801.76,857.8908,1282.2144729842073
1-102-2025-90782,Sales,Sell - Pre registration,2025-09-18,Unit,Flat,Residential,Off-Plan,Al Satwa,Rose Gardens 1,Rose Gardens 1,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,Studio,1,41.73,981458.0,23519.25,449.1817199999999,2184.990965349169
1-11-2024-28418,Sales,Sell,2024-08-01,Villa,Villa,Residential,Existing,Wadi Al Safa 5,La Vie,La Rosa 6 ,IMG World Adventures,Jumeirah Beach Resdency,Marina Mall,3,0,165.35,2727000.0,16492.29,1779.8274,1532.1710408548606
1-11-2025-22000,Sales,Sell,2025-05-26,Unit,Flat,Residential,Existing,Hadaeq Sheikh Mohammed Bin Rashid,EXECUTIVE RESIDENCES,PARK RIDGE,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2,1,118.7,3150000.0,26537.49,1277.6868,2465.3929272807704
1-102-2024-22545,Sales,Sell - Pre registration,2024-04-08,Unit,Flat,Residential,Off-Plan,Zaabeel First,Address Residences Zabeel Tower 4,Address Residences Zabeel,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,2,1,134.2,3620888.0,26981.28,1444.5287999999998,2506.6222286464626
1-102-2025-96936,Sales,Sell - Pre registration,2025-09-30,Unit,Flat,Residential,Off-Plan,Bukadra,Skyvue Stellar,Skyvue,IMG World Adventures,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1,1,73.97,2070146.0,27986.29,796.21308,2599.989942390798
1-102-2025-96812,Sales,Sell - Pre registration,2025-09-30,Unit,Flat,Residential,Off-Plan,Dubai Investment Park Second,DAMAC Riverside Views - Capri 1 -D,DAMAC RIVERSIDE VIEWS - CAPRI 1 ,Motor City,Business Bay Metro Station,Dubai Mall,1,1,69.0,1089000.0,15782.61,742.716,1466.2401240851145
1-102-2025-73318,Sales,Sell - Pre registration,2025-08-11,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Rosehill Block B,Rosehill,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,69.25,1643888.0,23738.45,745.4069999999999,2205.3562684546832
1-102-2025-14638,Sales,Sell - Pre registration,2025-02-26,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Violet Tower,Violet Tower,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,76.13,1129732.0,14839.51,819.46332,1378.624243974703
1-102-2024-10194,Sales,Sell - Pre registration,2024-02-20,Unit,Flat,Residential,Off-Plan,Al Barsha South Third,NAS3,NAS3,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,40.22,571803.0,14216.88,432.92807999999997,1320.7805786125032
1-102-2025-55720,Sales,Sell - Pre registration,2025-06-26,Unit,Flat,Residential,Off-Plan,Dubai Investment Park Second,DAMAC Riverside Views - Indigo 1 -C,DAMAC RIVERSIDE VIEWS - INDIGO 1,IMG World Adventures,Dubai Internet City,Marina Mall,2,1,100.87,1578000.0,15643.9,1085.76468,1453.3535940771255
1-102-2025-37048,Sales,Sell - Pre registration,2025-05-12,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,Peace Lagoons by Peace Homes,Peace Lagoons by Peace Homes,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,1,1,72.32,1059999.0,14657.07,778.4524799999999,1361.674639407662
1-11-2024-29657,Sales,Sell,2024-08-13,Unit,Flat,Residential,Existing,Al Hebiah Second,LAYA HEIGHTS,LAYA HEIGHTS,Motor City,Sharaf Dg Metro Station,City Centre Mirdif,Studio,1,32.26,560000.0,17358.96,347.24663999999996,1612.6865907183437
1-11-2025-47005,Sales,Sell,2025-11-10,Unit,Flat,Residential,Existing,Marsa Dubai,Palace Beach Residence Tower 1,Palace Beach Residence,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1,1,79.27,2650000.0,33430.05,853.2622799999999,3105.7273503289052
1-102-2025-4026,Sales,Sell - Pre registration,2025-01-20,Villa,Villa,Residential,Off-Plan,Wadi Al Safa 7,Binghatti Hills - 2,Reportage Village 1 ,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,3,0,167.52,980000.0,5850.05,1803.18528,543.4826974630139
1-102-2025-2249,Sales,Sell - Pre registration,2025-01-14,Unit,Flat,Residential,Off-Plan,Burj Khalifa,25hours Heimat Dubai,Euphoric Residences,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2,1,143.45,4149264.0,28924.81,1544.0957999999998,2687.180419764111
1-102-2024-107937,Sales,Sell - Pre registration,2024-12-24,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,Building 2 - SAGE,Verdes by Haven 1,Hamdan Sports Complex,Business Bay Metro Station,Dubai Mall,3,1,186.27,2870200.0,15408.82,2005.01028,1431.5138573753347
1-102-2025-23141,Sales,Sell - Pre registration,2025-03-20,Unit,Flat,Residential,Off-Plan,Al Barsha South Third,FLOAREA RESIDENCE,Floarea Residence,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,39.0,660000.0,16923.08,419.796,1572.1922076437127
1-102-2024-104585,Sales,Sell - Pre registration,2024-12-13,Villa,Villa,Residential,Off-Plan,Wadi Al Safa 7,AMAAL 8,Reportage Village 1 ,Downtown Dubai,Creek Metro Station,Dubai Mall,3,0,170.0,1776500.0,10450.0,1829.8799999999999,970.8286882199926
1-102-2024-14543,Sales,Sell - Pre registration,2024-03-08,Unit,Flat,Residential,Off-Plan,Al Merkadh,AZIZI RIVIERA 47,Azizi Riviera 47,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,28.11,572000.0,20348.63,302.57604,1890.433888949039
1-102-2024-17441,Sales,Sell - Pre registration,2024-03-20,Unit,Flat,Residential,Off-Plan,Al Hebiah Fourth,Sportz By Danube - 2,Sportz By Danube ,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,36.27,635000.0,17507.58,390.41028,1626.4940564577346
1-102-2024-82826,Sales,Sell - Pre registration,2024-10-08,Unit,Flat,Residential,Off-Plan,Business Bay,AYKON CITY 3 - TOWER D,AYKON CITY 3,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1,1,73.29,2608000.0,35584.66,788.89356,3305.895918328957
1-11-2024-2880,Sales,Sell,2024-01-26,Unit,Flat,Residential,Existing,Al Warsan First,LAWNZ BLOCK 2,Lawnz Residence by Danube ,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1,1,58.23,600000.0,10303.97,626.7877199999999,957.2618940268965
1-102-2024-36154,Sales,Sell - Pre registration,2024-05-27,Unit,Flat,Residential,Off-Plan,Ras Al Khor Industrial First,Sobha One - E,SOBHA ONE,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,68.14,1719940.0,25241.27,733.4589599999999,2344.9710124203816
1-11-2025-11973,Sales,Sell,2025-03-21,Unit,Flat,Residential,Existing,Marsa Dubai,No.9,NO 9,Burj Al Arab,Dubai Marina,Marina Mall,2,1,99.87,2650000.0,26534.49,1075.0006799999999,2465.114719741387
1-102-2024-102649,Sales,Sell - Pre registration,2024-12-09,Unit,Flat,Residential,Off-Plan,Al Hebiah Second,BEACH OASIS 2 - TOWER B,BEACH OASIS 2,Motor City,Dubai Internet City,City Centre Mirdif,Studio,1,32.2,558000.0,17329.19,346.6008,1609.9212696566194
1-102-2025-117401,Sales,Sell - Pre registration,2025-11-18,Villa,Villa,Residential,Off-Plan,Wadi Al Safa 2,LIV LUX,Bianca ,IMG World Adventures,Jumeirah Beach Resdency,Marina Mall,2,0,90.64,1597446.0,17624.07,975.64896,1637.3163560795474
1-11-2024-5394,Sales,Sell,2024-02-16,Unit,Flat,Residential,Existing,Marsa Dubai,MARINA HEIGHTS 1,PRINCESS TOWER,Burj Al Arab,Marina Towers,Marina Mall,2,1,170.4,1883500.0,11053.4,1834.1856,1026.8862649450525
